Config,3dm11_32bit_12x7_dx11_gt3_perf,Grid2_38x21,Rome2_19x10_AA_Extreme,Rome2_25x14_AA_Extreme,SleepingDogs_25x16_Extreme,SleepingDogs_25x16_FXAA_SSAA_Extreme,thief_veryhigh_3840x2160x32
Navi10-256b-14m-2200e-2SE4SA-40CU-16RB-16TCC-8MC-DCC-PBB-8192K-4PreCull-4PostCull-BC,1.6747,1.4001,1.6826,1.6044,1.4739,1.3583,1.285
Navi10-256b-14m-2200e-2SE4SA-40CU-16RB-16TCC-8MC-DCC-PBB-16384K-4PreCull-4PostCull-BC,1.7155,1.4091,1.699,1.6319,1.488,1.3754,1.3673
Navi10-256b-14m-2200e-2SE4SA-40CU-16RB-16TCC-8MC-DCC-PBB-32768K-4PreCull-4PostCull-BC,1.7624,1.4221,1.705,1.6383,1.528,1.3891,1.4244
Navi11-128b-14m-2200e-1SE2SA-20CU-8RB-8TCC-4MC-DCC-PBB-1024K-2PreCull-2PostCull-BC,0.8223,0.702,0.781,0.7634,0.7715,0.6735,0.6152
Navi11-128b-14m-2200e-1SE2SA-20CU-8RB-8TCC-4MC-DCC-PBB-2048K-2PreCull-2PostCull-BC,0.8279,0.7028,0.7401,0.6901,0.7872,0.6704,0.6192
Navi11-128b-14m-2200e-1SE2SA-20CU-8RB-8TCC-4MC-DCC-PBB-4096K-2PreCull-2PostCull-BC,0.8504,0.7072,0.8424,0.8231,0.7958,0.688,0.628
Navi11-128b-14m-2200e-1SE2SA-20CU-8RB-8TCC-4MC-DCC-PBB-8192K-2PreCull-2PostCull-BC,0.8684,0.7103,0.8712,0.8196,0.804,0.697,0.6467
Navi12-384b-14m-2200e-4SE8SA-80CU-32RB-32TCC-12MC-DCC-PBB-32768K-8PreCull-4PostCull-BC,3.0527,2.6706,3.1354,3.0855,2.3432,2.3096,2.5156
Navi10-256b-14m-2300e-2SE4SA-40CU-16RB-16TCC-8MC-DCC-PBB-2048K-4PreCull-4PostCull-BC,1.6554,1.4443,1.4855,1.3974,1.49,1.3454,1.2608
Navi10-256b-14m-2300e-2SE4SA-40CU-16RB-16TCC-8MC-DCC-PBB-4096K-4PreCull-4PostCull-BC,1.7014,1.4534,1.6957,1.6779,1.5059,1.3815,1.2793
Navi10-256b-14m-2300e-2SE4SA-40CU-16RB-16TCC-8MC-DCC-PBB-8192K-4PreCull-4PostCull-BC,1.7375,1.4598,1.7547,1.6711,1.5207,1.4002,1.3192
Navi10-256b-14m-2300e-2SE4SA-40CU-16RB-16TCC-8MC-DCC-PBB-16384K-4PreCull-4PostCull-BC,1.7846,1.47,1.7744,1.7038,1.5361,1.419,1.4108
Navi10-256b-14m-2300e-2SE4SA-40CU-16RB-16TCC-8MC-DCC-PBB-32768K-4PreCull-4PostCull-BC,1.8391,1.4847,1.7818,1.7116,1.58,1.434,1.4784
Navi11-128b-14m-2300e-1SE2SA-20CU-8RB-8TCC-4MC-DCC-PBB-1024K-2PreCull-2PostCull-BC,0.8462,0.7311,0.8069,0.79,0.7913,0.6924,0.6296
Navi11-128b-14m-2300e-1SE2SA-20CU-8RB-8TCC-4MC-DCC-PBB-2048K-2PreCull-2PostCull-BC,0.8523,0.7321,0.762,0.7095,0.8087,0.689,0.6339
Navi11-128b-14m-2300e-1SE2SA-20CU-8RB-8TCC-4MC-DCC-PBB-4096K-2PreCull-2PostCull-BC,0.8785,0.737,0.8758,0.8571,0.8182,0.7081,0.6433
Navi11-128b-14m-2300e-1SE2SA-20CU-8RB-8TCC-4MC-DCC-PBB-8192K-2PreCull-2PostCull-BC,0.8998,0.7404,0.9082,0.8534,0.8271,0.7179,0.6637
Navi12-384b-14m-2300e-4SE8SA-80CU-32RB-32TCC-12MC-DCC-PBB-32768K-8PreCull-4PostCull-BC,3.1841,2.7855,3.2735,3.219,2.4174,2.3725,2.5865
Navi10-256b-14m-2400e-2SE4SA-40CU-16RB-16TCC-8MC-DCC-PBB-2048K-4PreCull-4PostCull-BC,1.703,1.5017,1.528,1.4347,1.5309,1.381,1.2884
Navi10-256b-14m-2400e-2SE4SA-40CU-16RB-16TCC-8MC-DCC-PBB-4096K-4PreCull-4PostCull-BC,1.7547,1.5119,1.7601,1.7438,1.5482,1.4198,1.3081
Navi10-256b-14m-2400e-2SE4SA-40CU-16RB-16TCC-8MC-DCC-PBB-8192K-4PreCull-4PostCull-BC,1.7974,1.519,1.826,1.7369,1.5646,1.4401,1.351
Navi10-256b-14m-2400e-2SE4SA-40CU-16RB-16TCC-8MC-DCC-PBB-16384K-4PreCull-4PostCull-BC,1.8527,1.5305,1.8494,1.7752,1.5817,1.4603,1.4515
Navi10-256b-14m-2400e-2SE4SA-40CU-16RB-16TCC-8MC-DCC-PBB-32768K-4PreCull-4PostCull-BC,1.9149,1.5469,1.8583,1.7846,1.6297,1.4767,1.531
Navi11-128b-14m-2400e-1SE2SA-20CU-8RB-8TCC-4MC-DCC-PBB-1024K-2PreCull-2PostCull-BC,0.869,0.7599,0.8318,0.8157,0.8095,0.7102,0.643
Navi11-128b-14m-2400e-1SE2SA-20CU-8RB-8TCC-4MC-DCC-PBB-2048K-2PreCull-2PostCull-BC,0.8756,0.761,0.7828,0.7278,0.8284,0.7066,0.6476
Navi11-128b-14m-2400e-1SE2SA-20CU-8RB-8TCC-4MC-DCC-PBB-4096K-2PreCull-2PostCull-BC,0.9048,0.7665,0.9084,0.8905,0.8387,0.7271,0.6576
Navi11-128b-14m-2400e-1SE2SA-20CU-8RB-8TCC-4MC-DCC-PBB-8192K-2PreCull-2PostCull-BC,0.9296,0.7703,0.9447,0.8867,0.8485,0.7378,0.6795
Navi12-384b-14m-2400e-4SE8SA-80CU-32RB-32TCC-12MC-DCC-PBB-32768K-8PreCull-4PostCull-BC,3.3142,2.8995,3.4106,3.3512,2.4889,2.4317,2.6534
