Config, App, Score, Cycles, Mem Efficiency (%), 1# bottleneck, 2# bottleneck, 3# bottleneck, 4# bottleneck, 5# bottleneck, #1 IF Improv %[activity],#2 IF Improv %[activity],#3 IF Improv %[activity],#4 IF Improv %[activity],#5 IF Improv %[activity], Ave FPS, Min FPS, Max FPS, Time (ms), Ave Power (Watt), Ave Freq (MHz), Ave Shader Freq (MHz),TotDcallNum,ExTDPDcallNum,SNum,ONum,ASNum,AONum
RacerX-128b-8m-1400e-2P-16CU-4RB-DCC-1024K,Rome2_25x14_AA_Extreme,0.3799,70771067739,62.2,MCS (29.9%),ALU (21.3%),PS GPR (17.6%),SX-DB (9.6%),TCP (9.4%),MCS (8.7%),ALU (4.3%),PS GPR (2.4%),SX-DB (1.8%),TCP (0.8%),19.8,8.54,1207.26,50550.76,0,1400,1400,0,0,0,0,0,0
RacerX-128b-8m-1400e-2P-16CU-4RB-DCC-1024K,SleepingDogs_25x16_Extreme,0.3978,20879406993,58.1,MCS (51.8%),ALU (26.1%),DB (6.8%),VS Wave (4.8%),TCP (2.9%),MCS (18.3%),ALU (13.9%),DB (2.5%),VS Wave (2%),TCP (0%),36.68,24.43,56.72,14913.86,0,1400,1400,0,0,0,0,0,0
RacerX-128b-8m-1400e-2P-16CU-4RB-DCC-1024K,SleepingDogs_25x16_FXAA_SSAA_Extreme,0.3421,68300035915,58.7,MCS (50.8%),ALU (30.2%),DB (9.4%),TCP (2.4%),CB (2.4%),MCS (16.7%),ALU (16.9%),DB (3.6%),TCP (0%),CB (0%),16.02,10.86,22.44,48785.74,0,1400,1400,0,0,0,0,0,0
RacerX-128b-8m-1400e-2P-16CU-4RB-DCC-1024K,thief_veryhigh_3840x2160x32,0.3083,112382854346,56.5,MCS (67.4%),TCP (8%),ALU (5.8%),CB (5.4%),DB (3.8%),MCS (23%),TCP (0.7%),ALU (1%),CB (0%),DB (1.4%),12.53,10.85,18.62,80273.47,0,1400,1400,0,0,0,0,0,0
Navi10-256b-14m-1800e-2SE4SA-40CU-16RB-16TCC-8MC-DCC-PBB-2048K-4PreCull-4PostCull-BC,3dm11_32bit_12x7_dx11_gt3_perf,1.3726,6356882538,53.3,MCS (20.6%),SPI (14.6%),ALU (13.9%),PosBuf (13.4%),TCP (6.3%),MCS (6%),SPI (6.6%),ALU (1.4%),PosBuf (3.8%),TCP (1.3%),129.41,116.75,143.77,3531.6,0,1800,1800,0,0,0,0,0,0
Navi10-256b-14m-1800e-2SE4SA-40CU-16RB-16TCC-8MC-DCC-PBB-2048K-4PreCull-4PostCull-BC,Grid2_38x21,1.1474,23463682317,57.2,PS GPR (37.4%),ALU (15.5%),SPI (14.5%),TCP (11.9%),MCS (6.2%),PS GPR (9.9%),ALU (5.5%),SPI (6.3%),TCP (0.9%),MCS (2.7%),97.48,69.29,38284.68,13035.38,0,1800,1800,0,0,0,0,0,0
Navi10-256b-14m-1800e-2SE4SA-40CU-16RB-16TCC-8MC-DCC-PBB-2048K-4PreCull-4PostCull-BC,Rome2_19x10_AA_Extreme,1.2414,18438070766,58.6,MCS (28.7%),PS GPR (16.2%),ALU (15.8%),SPI (11.6%),TCP (10.3%),MCS (11.2%),PS GPR (2.1%),ALU (2.4%),SPI (3.3%),TCP (0.6%),96.42,44.37,3182.87,10243.37,0,1800,1800,0,0,0,0,0,0
Navi10-256b-14m-1800e-2SE4SA-40CU-16RB-16TCC-8MC-DCC-PBB-2048K-4PreCull-4PostCull-BC,Rome2_25x14_AA_Extreme,1.1779,29345339230,57.4,MCS (33.5%),ALU (18.4%),PS GPR (16.2%),SPI (11.1%),TCP (8%),MCS (12.4%),ALU (2.9%),PS GPR (2%),SPI (3.2%),TCP (0.4%),61.39,28.16,2362.03,16302.97,0,1800,1800,0,0,0,0,0,0
Navi10-256b-14m-1800e-2SE4SA-40CU-16RB-16TCC-8MC-DCC-PBB-2048K-4PreCull-4PostCull-BC,SleepingDogs_25x16_Extreme,1.2427,8593238229,56.7,MCS (27.4%),ALU (25.7%),VS Wave (19.7%),SPI (11.8%),LDS (4.5%),MCS (9.8%),ALU (11.1%),VS Wave (13.1%),SPI (3.3%),LDS (1.7%),114.59,79.77,175.25,4774.02,0,1800,1800,0,0,0,0,0,0
Navi10-256b-14m-1800e-2SE4SA-40CU-16RB-16TCC-8MC-DCC-PBB-2048K-4PreCull-4PostCull-BC,SleepingDogs_25x16_FXAA_SSAA_Extreme,1.1341,26485943512,58.5,MCS (35.4%),ALU (31.7%),SPI (13.3%),VS Wave (6.1%),LDS (5.7%),MCS (12.7%),ALU (14.2%),SPI (3.2%),VS Wave (4%),LDS (2.1%),53.13,36.32,71.32,14714.41,0,1800,1800,0,0,0,0,0,0
Navi10-256b-14m-1800e-2SE4SA-40CU-16RB-16TCC-8MC-DCC-PBB-2048K-4PreCull-4PostCull-BC,thief_veryhigh_3840x2160x32,1.0865,41002625305,52.7,MCS (44.6%),SPI (20.6%),TCP (15.1%),ALU (9.6%),PS GPR (3.5%),MCS (12.3%),SPI (6.4%),TCP (1%),ALU (1.9%),PS GPR (1%),44.16,38.3,64.11,22779.24,0,1800,1800,0,0,0,0,0,0
Navi10-256b-14m-1800e-2SE4SA-40CU-16RB-16TCC-8MC-DCC-PBB-4096K-4PreCull-4PostCull-BC,3dm11_32bit_12x7_dx11_gt3_perf,1.3894,6280302838,51.2,ALU (17.6%),SPI (14.8%),MCS (14.8%),PosBuf (13.6%),TCP (6.8%),ALU (2.4%),SPI (6.9%),MCS (4.9%),PosBuf (3.9%),TCP (1.3%),130.99,117.99,145.63,3489.06,0,1800,1800,0,0,0,0,0,0
Navi10-256b-14m-1800e-2SE4SA-40CU-16RB-16TCC-8MC-DCC-PBB-4096K-4PreCull-4PostCull-BC,Grid2_38x21,1.1521,23367023563,56.2,PS GPR (37.6%),ALU (15.6%),SPI (14.8%),TCP (11.9%),LDS (5.7%),PS GPR (9.9%),ALU (5.6%),SPI (6.4%),TCP (0.9%),LDS (3.3%),97.89,69.52,39353.32,12981.68,0,1800,1800,0,0,0,0,0,0
Navi10-256b-14m-1800e-2SE4SA-40CU-16RB-16TCC-8MC-DCC-PBB-4096K-4PreCull-4PostCull-BC,Rome2_19x10_AA_Extreme,1.3561,16879169792,37.9,ALU (20.6%),PS GPR (18.5%),SPI (15.9%),TCP (12.7%),MCS (11%),ALU (3.4%),PS GPR (2.4%),SPI (5.6%),TCP (0.8%),MCS (3%),105.33,44.92,3193.09,9377.32,0,1800,1800,0,0,0,0,0,0
Navi10-256b-14m-1800e-2SE4SA-40CU-16RB-16TCC-8MC-DCC-PBB-4096K-4PreCull-4PostCull-BC,Rome2_25x14_AA_Extreme,1.3315,25961804854,60.9,ALU (25.3%),PS GPR (23.1%),SPI (17.4%),TCP (11.4%),SX-DB (6.1%),ALU (4.5%),PS GPR (3.1%),SPI (6%),TCP (0.6%),SX-DB (0.5%),69.39,28.61,2376.29,14423.22,0,1800,1800,0,0,0,0,0,0
Navi10-256b-14m-1800e-2SE4SA-40CU-16RB-16TCC-8MC-DCC-PBB-4096K-4PreCull-4PostCull-BC,SleepingDogs_25x16_Extreme,1.2518,8530695840,53,MCS (26.6%),ALU (25.9%),VS Wave (19.9%),SPI (12.1%),LDS (4.5%),MCS (9.2%),ALU (11.2%),VS Wave (13.2%),SPI (3.5%),LDS (1.7%),115.43,80.52,175.71,4739.28,0,1800,1800,0,0,0,0,0,0
Navi10-256b-14m-1800e-2SE4SA-40CU-16RB-16TCC-8MC-DCC-PBB-4096K-4PreCull-4PostCull-BC,SleepingDogs_25x16_FXAA_SSAA_Extreme,1.1555,25997285968,53.8,MCS (32.9%),ALU (32.3%),SPI (14%),VS Wave (6.2%),LDS (5.8%),MCS (11.1%),ALU (14.6%),SPI (3.6%),VS Wave (4.1%),LDS (2.2%),54.12,37.14,71.81,14442.94,0,1800,1800,0,0,0,0,0,0
Navi10-256b-14m-1800e-2SE4SA-40CU-16RB-16TCC-8MC-DCC-PBB-4096K-4PreCull-4PostCull-BC,thief_veryhigh_3840x2160x32,1.0977,40584584796,51.7,MCS (42.4%),SPI (21.3%),TCP (15.4%),ALU (10.1%),PS GPR (3.5%),MCS (11.4%),SPI (6.8%),TCP (1%),ALU (2.1%),PS GPR (1.1%),44.62,38.71,64.61,22546.99,0,1800,1800,0,0,0,0,0,0
Navi10-256b-14m-1800e-2SE4SA-40CU-16RB-16TCC-8MC-DCC-PBB-8192K-4PreCull-4PostCull-BC,3dm11_32bit_12x7_dx11_gt3_perf,1.4038,6215738344,48.3,ALU (17.8%),SPI (15.1%),PosBuf (13.8%),MCS (12.7%),TCP (7.2%),ALU (3.3%),SPI (7.2%),PosBuf (3.9%),MCS (3.9%),TCP (1.3%),132.35,119.07,147.29,3453.19,0,1800,1800,0,0,0,0,0,0
Navi10-256b-14m-1800e-2SE4SA-40CU-16RB-16TCC-8MC-DCC-PBB-8192K-4PreCull-4PostCull-BC,Grid2_38x21,1.1554,23299849393,56.7,PS GPR (37.7%),ALU (15.7%),SPI (15%),TCP (12%),LDS (5.7%),PS GPR (9.9%),ALU (5.6%),SPI (6.4%),TCP (0.9%),LDS (3.4%),98.17,69.68,40253.72,12944.36,0,1800,1800,0,0,0,0,0,0
Navi10-256b-14m-1800e-2SE4SA-40CU-16RB-16TCC-8MC-DCC-PBB-8192K-4PreCull-4PostCull-BC,Rome2_19x10_AA_Extreme,1.3865,16509244162,26.7,ALU (22.8%),PS GPR (19.8%),SPI (16.6%),TCP (13.3%),VS Wave (7.9%),ALU (3.8%),PS GPR (2.6%),SPI (5.9%),TCP (0.9%),VS Wave (4.4%),107.69,45.03,3196.66,9171.8,0,1800,1800,0,0,0,0,0,0
Navi10-256b-14m-1800e-2SE4SA-40CU-16RB-16TCC-8MC-DCC-PBB-8192K-4PreCull-4PostCull-BC,Rome2_25x14_AA_Extreme,1.3279,26031930768,24.8,ALU (25.1%),PS GPR (20.5%),SPI (17.5%),TCP (11.3%),MCS (8.6%),ALU (4.4%),PS GPR (2.7%),SPI (6.1%),TCP (0.6%),MCS (1.2%),69.2,28.62,2376.3,14462.18,0,1800,1800,0,0,0,0,0,0
Navi10-256b-14m-1800e-2SE4SA-40CU-16RB-16TCC-8MC-DCC-PBB-8192K-4PreCull-4PostCull-BC,SleepingDogs_25x16_Extreme,1.2605,8471768333,50.6,ALU (26.1%),MCS (25.8%),VS Wave (20.1%),SPI (12.4%),LDS (4.5%),ALU (11.2%),MCS (8.5%),VS Wave (13.3%),SPI (3.7%),LDS (1.7%),116.23,81.22,176.14,4706.54,0,1800,1800,0,0,0,0,0,0
Navi10-256b-14m-1800e-2SE4SA-40CU-16RB-16TCC-8MC-DCC-PBB-8192K-4PreCull-4PostCull-BC,SleepingDogs_25x16_FXAA_SSAA_Extreme,1.166,25761942664,50.6,ALU (32.6%),MCS (31.7%),SPI (14.4%),VS Wave (6.3%),LDS (5.9%),ALU (14.7%),MCS (10.2%),SPI (3.9%),VS Wave (4.1%),LDS (2.2%),54.62,37.57,72.06,14312.19,0,1800,1800,0,0,0,0,0,0
Navi10-256b-14m-1800e-2SE4SA-40CU-16RB-16TCC-8MC-DCC-PBB-8192K-4PreCull-4PostCull-BC,thief_veryhigh_3840x2160x32,1.1207,39752197917,50.4,MCS (36.2%),SPI (22.5%),TCP (16%),ALU (11.2%),Interp (4%),MCS (9.5%),SPI (7.7%),TCP (1.1%),ALU (2.4%),Interp (0.2%),45.55,39.57,65.59,22084.55,0,1800,1800,0,0,0,0,0,0
Navi10-256b-14m-1800e-2SE4SA-40CU-16RB-16TCC-8MC-DCC-PBB-16384K-4PreCull-4PostCull-BC,3dm11_32bit_12x7_dx11_gt3_perf,1.427,6114672924,43.2,ALU (18.1%),SPI (15.9%),PosBuf (14.1%),MCS (8.2%),TCP (7.7%),ALU (5.1%),SPI (7.6%),PosBuf (4%),MCS (2.3%),TCP (1.4%),134.53,120.85,149.98,3397.04,0,1800,1800,0,0,0,0,0,0
Navi10-256b-14m-1800e-2SE4SA-40CU-16RB-16TCC-8MC-DCC-PBB-16384K-4PreCull-4PostCull-BC,Grid2_38x21,1.1609,23190147318,56.7,PS GPR (37.9%),ALU (15.7%),SPI (15.2%),TCP (12.2%),LDS (5.8%),PS GPR (10%),ALU (5.7%),SPI (6.6%),TCP (0.9%),LDS (3.4%),98.63,69.95,41845.5,12883.42,0,1800,1800,0,0,0,0,0,0
Navi10-256b-14m-1800e-2SE4SA-40CU-16RB-16TCC-8MC-DCC-PBB-16384K-4PreCull-4PostCull-BC,Rome2_19x10_AA_Extreme,1.3939,16421067780,13.5,ALU (25%),PS GPR (20.1%),SPI (16.7%),TCP (13.6%),VS Wave (8%),ALU (4.4%),PS GPR (2.8%),SPI (6%),TCP (0.9%),VS Wave (4.4%),108.27,45.07,3198.68,9122.82,0,1800,1800,0,0,0,0,0,0
Navi10-256b-14m-1800e-2SE4SA-40CU-16RB-16TCC-8MC-DCC-PBB-16384K-4PreCull-4PostCull-BC,Rome2_25x14_AA_Extreme,1.3401,25794431892,13.3,ALU (27.4%),PS GPR (23.2%),SPI (17.8%),TCP (11.7%),SX-DB (6.1%),ALU (5.1%),PS GPR (3.2%),SPI (6.3%),TCP (0.7%),SX-DB (0.5%),69.84,28.65,2379.5,14330.24,0,1800,1800,0,0,0,0,0,0
Navi10-256b-14m-1800e-2SE4SA-40CU-16RB-16TCC-8MC-DCC-PBB-16384K-4PreCull-4PostCull-BC,SleepingDogs_25x16_Extreme,1.2697,8410140044,49.1,ALU (26.3%),MCS (24.8%),VS Wave (20.2%),SPI (12.8%),LDS (4.6%),ALU (11.3%),MCS (7.9%),VS Wave (13.4%),SPI (3.9%),LDS (1.7%),117.08,81.95,176.58,4672.3,0,1800,1800,0,0,0,0,0,0
Navi10-256b-14m-1800e-2SE4SA-40CU-16RB-16TCC-8MC-DCC-PBB-16384K-4PreCull-4PostCull-BC,SleepingDogs_25x16_FXAA_SSAA_Extreme,1.1764,25534035922,47.3,ALU (33%),MCS (30.5%),SPI (14.9%),VS Wave (6.4%),LDS (6%),ALU (14.9%),MCS (9.4%),SPI (4.1%),VS Wave (4.1%),LDS (2.2%),55.11,38.01,72.3,14185.58,0,1800,1800,0,0,0,0,0,0
Navi10-256b-14m-1800e-2SE4SA-40CU-16RB-16TCC-8MC-DCC-PBB-16384K-4PreCull-4PostCull-BC,thief_veryhigh_3840x2160x32,1.1623,38328657011,45.1,SPI (26.4%),MCS (20.5%),TCP (17.9%),ALU (12.5%),Interp (11.6%),SPI (9.9%),MCS (6.1%),TCP (1.3%),ALU (3.1%),Interp (1.2%),47.24,41.21,67.63,21293.7,0,1800,1800,0,0,0,0,0,0
Navi10-256b-14m-1800e-2SE4SA-40CU-16RB-16TCC-8MC-DCC-PBB-32768K-4PreCull-4PostCull-BC,3dm11_32bit_12x7_dx11_gt3_perf,1.4493,6020492531,35,ALU (18.4%),SPI (16.8%),PosBuf (14.5%),TCP (8%),Vertex (6.4%),ALU (6.5%),SPI (8%),PosBuf (4.1%),TCP (1.4%),Vertex (1.6%),136.64,122.73,152.36,3344.72,0,1800,1800,0,0,0,0,0,0
Navi10-256b-14m-1800e-2SE4SA-40CU-16RB-16TCC-8MC-DCC-PBB-32768K-4PreCull-4PostCull-BC,Grid2_38x21,1.1687,23035184135,54,PS GPR (38.1%),ALU (15.8%),SPI (15.5%),TCP (12.6%),LDS (5.8%),PS GPR (10.1%),ALU (5.8%),SPI (6.7%),TCP (0.9%),LDS (3.4%),99.3,70.32,44452.74,12797.32,0,1800,1800,0,0,0,0,0,0
Navi10-256b-14m-1800e-2SE4SA-40CU-16RB-16TCC-8MC-DCC-PBB-32768K-4PreCull-4PostCull-BC,Rome2_19x10_AA_Extreme,1.396,16396759692,10.8,ALU (25.2%),PS GPR (20.1%),SPI (16.8%),TCP (13.6%),VS Wave (8%),ALU (4.5%),PS GPR (2.8%),SPI (6%),TCP (0.9%),VS Wave (4.4%),108.43,45.09,3200.27,9109.31,0,1800,1800,0,0,0,0,0,0
Navi10-256b-14m-1800e-2SE4SA-40CU-16RB-16TCC-8MC-DCC-PBB-32768K-4PreCull-4PostCull-BC,Rome2_25x14_AA_Extreme,1.3421,25755408060,10.6,ALU (27.6%),PS GPR (23.4%),SPI (17.9%),TCP (11.7%),SX-DB (6.1%),ALU (5.2%),PS GPR (3.6%),SPI (6.3%),TCP (0.7%),SX-DB (0.5%),69.94,28.67,2381.23,14308.56,0,1800,1800,0,0,0,0,0,0
Navi10-256b-14m-1800e-2SE4SA-40CU-16RB-16TCC-8MC-DCC-PBB-32768K-4PreCull-4PostCull-BC,SleepingDogs_25x16_Extreme,1.2957,8241115289,46.6,ALU (27.3%),MCS (21.6%),VS Wave (20.7%),SPI (13.8%),LDS (4.6%),ALU (11.6%),MCS (6%),VS Wave (13.8%),SPI (4.6%),LDS (1.8%),119.48,83.95,177.79,4578.4,0,1800,1800,0,0,0,0,0,0
