Config, App, Score, Cycles, % Vertex,% SPI,% Primitive,% Tile,% CB,% DB,% RB Read,% RB Write,% TA,% TD,% TCP,% TCC-TCP BW,% TCC,% TCC-MEM BW,% MC,% MCS,% ES GPR,% ES Wave,% GS GPR,% GS Wave,% LS GPR,% LS Wave,% HS GPR,% HS Wave,% VS GPR,% VS Wave,% PosBuf,% ParamCache,% AS GPR,% AS Wave,% PS GPR,% PS Wave,% DBLQuadFifo,% PS LDS,% LDS,% PS DBTileFIFO,% PS DBMRTTileFIFO,% CS GPR,% CS Wave,% PrimShader GPR,% PrimShader Wave,% PrimShader_ParamCache,% PrimShader_PosBuf,% ALU,% SFU,% SHExport,% MEM_INST,% SX-DB,% Baryc,% Interp,% PaScFifo,Ave FPS, Min FPS, Max FPS, Time (ms), Ave Power (Watt), Ave Freq (MHz), Ave Shader Freq (MHz),TotDcallNum,ExTDPDcallNum,SNum,ONum,ASNum,AONum
Navi11-128b-14m-2300e-1SE2SA-20CU-8RB-8TCC-4MC-DCC-PBB-4096K-2PreCull-2PostCull-BC,thief_veryhigh_3840x2160x32,0.6433,88490568096,0%,16.54%,0.18%,0.01%,0%,2.04%,0%,0%,0%,0%,10.66%,0%,0%,0%,0%,60.19%,0%,0%,0%,0%,0%,0.06%,0%,0.08%,0%,0.16%,0.16%,0%,0%,0%,3.39%,0.8%,0%,0%,0.29%,0%,0.02%,0%,0%,0%,0%,0%,0%,5.23%,0%,0.01%,0%,0%,0%,0.18%,0%,26.15,22.66,39.31,38474.16,0,2300,2300,0,0,0,0,0,0
Navi11-128b-14m-2300e-1SE2SA-20CU-8RB-8TCC-4MC-DCC-PBB-8192K-2PreCull-2PostCull-BC,3dm11_32bit_12x7_dx11_gt3_perf,0.8998,12390926723,6.07%,15%,1.67%,0%,0%,0.2%,0%,0%,0%,0%,6.15%,0%,0.04%,0%,0%,26.21%,0%,0%,0%,0%,0%,0%,0%,1.45%,0%,1.51%,16.91%,0%,0%,0%,2.96%,0.02%,0%,0%,5.32%,0%,0%,1.05%,0%,0%,0%,0%,0%,13.38%,0%,0.69%,0%,0%,0%,1.37%,0%,84.83,76.55,94.78,5387.36,0,2300,2300,0,0,0,0,0,0
Navi11-128b-14m-2300e-1SE2SA-20CU-8RB-8TCC-4MC-DCC-PBB-8192K-2PreCull-2PostCull-BC,Grid2_38x21,0.7404,46459144626,0.15%,14.26%,0.57%,0.07%,0%,0.85%,0%,0%,0.01%,0%,11.94%,1.52%,0.11%,0%,0%,7.9%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0.89%,0.03%,0%,0%,0%,38.81%,1.23%,0%,0%,5.76%,0%,0%,0%,0%,0%,0%,0%,0%,15.7%,0%,0%,0%,0%,0%,0.19%,0%,62.91,44.64,32775.43,20199.63,0,2300,2300,0,0,0,0,0,0
Navi11-128b-14m-2300e-1SE2SA-20CU-8RB-8TCC-4MC-DCC-PBB-8192K-2PreCull-2PostCull-BC,Rome2_19x10_AA_Extreme,0.9082,32205185573,0.73%,16.94%,0.61%,0%,0%,0.76%,0%,0%,0.5%,0%,13.43%,0.01%,0.11%,0%,0%,9.22%,0%,0%,0%,0%,0%,0%,0%,0%,0%,4.1%,2.01%,0.78%,0%,0%,19.53%,0.42%,0%,0.01%,0%,0%,0%,0%,0%,0%,0%,0%,0%,22.41%,0%,1.71%,0%,5.61%,0%,1.1%,0%,70.54,28.75,2886.42,14002.25,0,2300,2300,0,0,0,0,0,0
Navi11-128b-14m-2300e-1SE2SA-20CU-8RB-8TCC-4MC-DCC-PBB-8192K-2PreCull-2PostCull-BC,Rome2_25x14_AA_Extreme,0.8534,51756625839,0.45%,17.37%,0.44%,0%,0%,0.6%,0%,0%,0.37%,0%,11.07%,0.01%,0%,0%,0%,13.83%,0%,0%,0%,0%,0%,0%,0%,0%,0%,2.37%,1.02%,0.46%,0%,0%,19.9%,0.22%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,24.02%,0%,1.09%,0%,6.08%,0%,0.7%,0%,44.47,18.25,2277.19,22502.88,0,2300,2300,0,0,0,0,0,0
Navi11-128b-14m-2300e-1SE2SA-20CU-8RB-8TCC-4MC-DCC-PBB-8192K-2PreCull-2PostCull-BC,SleepingDogs_25x16_Extreme,0.8271,16496281330,0.23%,9.37%,0.01%,0%,0%,2.73%,0%,0%,0%,0%,3.63%,0%,0%,0%,0%,39.75%,0%,0%,0%,0%,0%,0%,0%,0%,0%,8.59%,3.49%,0.05%,0%,0%,0.05%,1.12%,0%,0%,4.64%,0%,0%,0%,0%,0%,0%,0%,0%,26.32%,0%,0%,0%,0%,0%,0.01%,0%,76.27,52.08,113.45,7172.3,0,2300,2300,0,0,0,0,0,0
Navi11-128b-14m-2300e-1SE2SA-20CU-8RB-8TCC-4MC-DCC-PBB-8192K-2PreCull-2PostCull-BC,SleepingDogs_25x16_FXAA_SSAA_Extreme,0.7179,53463073782,0.07%,9.25%,0%,0%,0%,3.92%,0%,0%,0%,0%,2.37%,0%,0%,0%,0%,44.26%,0%,0%,0%,0%,0%,0%,0%,0%,0%,2.43%,1.03%,0.02%,0%,0%,0.01%,0.31%,0%,0%,5.68%,0%,0%,0%,0%,0%,0%,0%,0%,30.61%,0%,0%,0%,0%,0%,0.02%,0%,33.63,22.88,45.37,23244.81,0,2300,2300,0,0,0,0,0,0
Navi11-128b-14m-2300e-1SE2SA-20CU-8RB-8TCC-4MC-DCC-PBB-8192K-2PreCull-2PostCull-BC,thief_veryhigh_3840x2160x32,0.6637,85774007100,0%,17.92%,0.19%,0.01%,0%,2.19%,0%,0%,0%,0%,12.03%,0%,0%,0%,0%,55.83%,0%,0%,0%,0%,0%,0.07%,0%,0.08%,0%,0.21%,0.17%,0%,0%,0%,3.53%,0.88%,0%,0%,0.3%,0%,0.02%,0%,0%,0%,0%,0%,0%,6.31%,0%,0.01%,0%,0%,0%,0.25%,0%,26.97,23.39,40.26,37293.05,0,2300,2300,0,0,0,0,0,0
Navi12-384b-14m-2300e-4SE8SA-80CU-32RB-32TCC-12MC-DCC-PBB-32768K-8PreCull-4PostCull-BC,3dm11_32bit_12x7_dx11_gt3_perf,3.1841,3501600937,3.09%,12.31%,13.35%,0%,0.11%,0.14%,0%,0%,0%,0%,6.28%,0.03%,0.07%,0%,0%,6.35%,0%,0%,0%,0%,0%,0.27%,0%,8.84%,0%,8.25%,9.21%,0%,0%,0%,2.65%,0.13%,0%,0%,4.14%,0%,0%,5.22%,2.01%,0%,0%,0%,0%,15.81%,0%,0.57%,0%,0%,0%,1.17%,0%,300.19,268.89,331.07,1522.44,0,2300,2300,0,0,0,0,0,0
Navi12-384b-14m-2300e-4SE8SA-80CU-32RB-32TCC-12MC-DCC-PBB-32768K-8PreCull-4PostCull-BC,Grid2_38x21,2.7855,12349757392,0.05%,13.22%,1.29%,0.02%,0%,0.85%,0%,0%,0%,0%,11.2%,0.07%,0.1%,0%,0%,6.65%,0%,0%,0%,0%,0%,0%,0%,0%,0%,4.7%,0%,0%,0%,0%,34.17%,4.87%,0%,0%,5.42%,0%,0%,0%,2.7%,0%,0%,0%,0%,14.63%,0%,0%,0%,0%,0%,0.05%,0%,236.66,169.68,61698.02,5369.46,0,2300,2300,0,0,0,0,0,0
