Config, App, Score, Cycles, % Vertex,% SPI,% Primitive,% Tile,% CB,% DB,% RB Read,% RB Write,% TA,% TD,% TCP,% TCC-TCP BW,% TCC,% TCC-MEM BW,% MC,% MCS,% ES GPR,% ES Wave,% GS GPR,% GS Wave,% LS GPR,% LS Wave,% HS GPR,% HS Wave,% VS GPR,% VS Wave,% PosBuf,% ParamCache,% AS GPR,% AS Wave,% PS GPR,% PS Wave,% DBLQuadFifo,% PS LDS,% LDS,% PS DBTileFIFO,% PS DBMRTTileFIFO,% CS GPR,% CS Wave,% PrimShader GPR,% PrimShader Wave,% PrimShader_ParamCache,% PrimShader_PosBuf,% ALU,% SFU,% SHExport,% MEM_INST,% SX-DB,% Baryc,% Interp,% PaScFifo,Ave FPS, Min FPS, Max FPS, Time (ms), Ave Power (Watt), Ave Freq (MHz), Ave Shader Freq (MHz),TotDcallNum,ExTDPDcallNum,SNum,ONum,ASNum,AONum
Navi10-256b-14m-1900e-2SE4SA-40CU-16RB-16TCC-8MC-DCC-PBB-32768K-4PreCull-4PostCull-BC,3dm11_32bit_12x7_dx11_gt3_perf,1.5285,6025808000,6.34%,16.74%,4.31%,0%,0.13%,0.19%,0%,0%,0%,0%,8.03%,0.11%,0.42%,0%,0%,2.65%,0%,0%,0%,0%,0%,0.02%,0%,5.6%,0%,5.37%,14.51%,0%,0%,0%,3.34%,0.07%,0%,0%,5.56%,0%,0%,3.03%,2.74%,0%,0%,0%,0%,18.41%,0%,0.9%,0%,0%,0%,1.52%,0%,144.1,129.42,160.69,3171.48,0,1900,1900,0,0,0,0,0,0
Navi10-256b-14m-1900e-2SE4SA-40CU-16RB-16TCC-8MC-DCC-PBB-32768K-4PreCull-4PostCull-BC,Grid2_38x21,1.2329,23049834944,0.11%,15.44%,0.67%,0.05%,0%,1.04%,0%,0%,0.01%,0%,12.55%,0.48%,0.11%,0%,0%,2.94%,0%,0%,0%,0%,0%,0%,0%,0%,0%,2.38%,0.01%,0%,0%,0%,38.1%,2.99%,0%,0%,5.81%,0%,0%,0%,1.2%,0%,0%,0%,0%,15.84%,0%,0%,0%,0%,0%,0.27%,0%,104.75,74.18,46375.94,12131.49,0,1900,1900,0,0,0,0,0,0
Navi10-256b-14m-1900e-2SE4SA-40CU-16RB-16TCC-8MC-DCC-PBB-32768K-4PreCull-4PostCull-BC,Rome2_19x10_AA_Extreme,1.4734,16398190554,0.74%,16.76%,0.63%,0.01%,0%,0.75%,0%,0%,0.47%,0%,13.61%,0.01%,0.12%,0%,0%,0.54%,0%,0%,0%,0%,0%,0%,0%,0%,0%,7.98%,1.56%,1.76%,0%,0%,20.08%,0.95%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,25.15%,0%,2.23%,0%,5.52%,0%,1.13%,0%,114.44,47.59,3377.83,8630.63,0,1900,1900,0,0,0,0,0,0
Navi10-256b-14m-1900e-2SE4SA-40CU-16RB-16TCC-8MC-DCC-PBB-32768K-4PreCull-4PostCull-BC,Rome2_25x14_AA_Extreme,1.4165,25759373817,0.46%,17.85%,0.45%,0%,0%,0.65%,0%,0%,0.35%,0%,11.73%,0.01%,0.1%,0%,0%,0.67%,0%,0%,0%,0%,0%,0%,0%,0%,0%,4.96%,1.26%,1.15%,0%,0%,23.36%,0.53%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,27.54%,0%,2.07%,0%,6.13%,0%,0.76%,0%,73.82,30.26,2513.16,13557.56,0,1900,1900,0,0,0,0,0,0
Navi10-256b-14m-1900e-2SE4SA-40CU-16RB-16TCC-8MC-DCC-PBB-32768K-4PreCull-4PostCull-BC,SleepingDogs_25x16_Extreme,1.3591,8293775848,0.26%,13.32%,0.02%,0%,0%,2.75%,0%,0%,0%,0%,4.16%,0%,0%,0%,0%,22.93%,0%,0%,0%,0%,0%,0%,0%,0%,0%,20.57%,2.24%,0.05%,0%,0%,0.04%,2.19%,0%,0%,4.62%,0%,0%,0%,0%,0%,0%,0%,0%,26.83%,0%,0%,0%,0%,0%,0.02%,0%,125.32,88.08,187.35,4365.15,0,1900,1900,0,0,0,0,0,0
Navi10-256b-14m-1900e-2SE4SA-40CU-16RB-16TCC-8MC-DCC-PBB-32768K-4PreCull-4PostCull-BC,SleepingDogs_25x16_FXAA_SSAA_Extreme,1.2403,25563881076,0.08%,14.56%,0.01%,0%,0%,5.39%,0%,0%,0%,0%,2.5%,0%,0%,0%,0%,30.91%,0%,0%,0%,0%,0%,0%,0%,0%,0%,6.37%,0.7%,0.02%,0%,0%,0%,0.63%,0%,0%,5.94%,0%,0%,0%,0%,0%,0%,0%,0%,32.87%,0%,0%,0%,0%,0%,0.01%,0%,58.1,40.13,76.31,13454.67,0,1900,1900,0,0,0,0,0,0
Navi10-256b-14m-1900e-2SE4SA-40CU-16RB-16TCC-8MC-DCC-PBB-32768K-4PreCull-4PostCull-BC,thief_veryhigh_3840x2160x32,1.2538,37506637042,0.01%,27.89%,0.35%,0.01%,0%,3.2%,0%,0%,0%,0%,19.08%,0%,0%,0%,0%,15.34%,0%,0%,0%,0%,0%,0.23%,0%,0.25%,0%,1.31%,0.18%,0%,0%,0%,3.94%,2.34%,0%,0%,0.31%,0%,0.01%,0%,0%,0%,0%,0%,0%,13.27%,0%,0.04%,0%,0%,0%,12.23%,0%,50.96,44.55,73.09,19740.33,0,1900,1900,0,0,0,0,0,0
Navi11-128b-14m-1900e-1SE2SA-20CU-8RB-8TCC-4MC-DCC-PBB-1024K-2PreCull-2PostCull-BC,3dm11_32bit_12x7_dx11_gt3_perf,0.7407,12434145171,6.07%,14.94%,1.71%,0%,0%,0.2%,0%,0%,0%,0%,6.21%,0%,0.05%,0%,0%,29.71%,0%,0%,0%,0%,0%,0%,0%,1.45%,0%,1.48%,16.85%,0%,0%,0%,2.96%,0.02%,0%,0%,5.3%,0%,0%,0.8%,0%,0%,0%,0%,0%,10.19%,0%,0.69%,0%,0%,0%,1.37%,0%,69.83,63,78.05,6544.29,0,1900,1900,0,0,0,0,0,0
Navi11-128b-14m-1900e-1SE2SA-20CU-8RB-8TCC-4MC-DCC-PBB-1024K-2PreCull-2PostCull-BC,Grid2_38x21,0.6126,46390045994,0.15%,14.47%,0.57%,0.07%,0%,0.91%,0%,0%,0.01%,0%,11.98%,1.52%,0.11%,0%,0%,7.41%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0.9%,0.03%,0%,0%,0%,38.88%,1.27%,0%,0%,5.77%,0%,0%,0%,0%,0%,0%,0%,0%,15.74%,0%,0%,0%,0%,0%,0.21%,0%,52.05,36.91,27094.82,24415.81,0,1900,1900,0,0,0,0,0,0
Navi11-128b-14m-1900e-1SE2SA-20CU-8RB-8TCC-4MC-DCC-PBB-1024K-2PreCull-2PostCull-BC,Rome2_19x10_AA_Extreme,0.6968,34675873204,0.63%,13.64%,0.55%,0%,0%,0.59%,0%,0%,0.46%,0%,11.15%,0.01%,0%,0%,0%,24.56%,0%,0%,0%,0%,0%,0%,0%,0%,0%,3.7%,1.7%,0.72%,0%,0%,17.34%,0.36%,0%,0.01%,0%,0%,0%,0%,0%,0%,0%,0%,0%,17.79%,0%,0.71%,0%,5.14%,0%,0.94%,0%,54.12,23.53,2363.54,18250.46,0,1900,1900,0,0,0,0,0,0
Navi11-128b-14m-1900e-1SE2SA-20CU-8RB-8TCC-4MC-DCC-PBB-1024K-2PreCull-2PostCull-BC,Rome2_25x14_AA_Extreme,0.6779,53827904179,0.43%,15.6%,0.41%,0%,0%,0.53%,0%,0%,0.35%,0%,9.44%,0.01%,0%,0%,0%,21.34%,0%,0%,0%,0%,0%,0%,0%,0%,0%,2.28%,0.9%,0.43%,0%,0%,18.99%,0.21%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,21.72%,0%,0.87%,0%,5.83%,0%,0.66%,0%,35.32,15.01,1872.62,28330.47,0,1900,1900,0,0,0,0,0,0
Navi11-128b-14m-1900e-1SE2SA-20CU-8RB-8TCC-4MC-DCC-PBB-1024K-2PreCull-2PostCull-BC,SleepingDogs_25x16_Extreme,0.7008,16085092988,0.26%,11.78%,0.01%,0%,0%,3.29%,0%,0%,0%,0%,4.05%,0.01%,0%,0%,0%,34.14%,0%,0%,0%,0%,0%,0%,0%,0%,0%,9.42%,3.58%,0.05%,0%,0%,0.05%,1.2%,0%,0%,4.76%,0%,0%,0%,0%,0%,0%,0%,0%,27.37%,0%,0%,0%,0%,0%,0.01%,0%,64.62,44.25,94.28,8465.84,0,1900,1900,0,0,0,0,0,0
Navi11-128b-14m-1900e-1SE2SA-20CU-8RB-8TCC-4MC-DCC-PBB-1024K-2PreCull-2PostCull-BC,SleepingDogs_25x16_FXAA_SSAA_Extreme,0.6098,51998690304,0.08%,13.03%,0%,0%,0%,4.38%,0%,0%,0%,0%,2.45%,0%,0%,0%,0%,37.87%,0%,0%,0%,0%,0%,0%,0%,0%,0%,2.67%,1.06%,0.02%,0%,0%,0.01%,0.34%,0%,0%,5.84%,0%,0%,0%,0%,0%,0%,0%,0%,32.23%,0%,0%,0%,0%,0%,0.02%,0%,28.56,19.43,37.79,27367.73,0,1900,1900,0,0,0,0,0,0
Navi11-128b-14m-1900e-1SE2SA-20CU-8RB-8TCC-4MC-DCC-PBB-1024K-2PreCull-2PostCull-BC,thief_veryhigh_3840x2160x32,0.565,83231275766,0%,19.45%,0.2%,0.01%,0%,2.32%,0%,0%,0%,0%,14.49%,0%,0%,0%,0%,49.43%,0%,0%,0%,0%,0%,0.07%,0%,0.09%,0%,0.23%,0.19%,0%,0%,0%,3.69%,0.96%,0%,0%,0.31%,0%,0.02%,0%,0%,0%,0%,0%,0%,8.19%,0%,0.02%,0%,0%,0%,0.33%,0%,22.96,19.92,33.82,43805.93,0,1900,1900,0,0,0,0,0,0
Navi11-128b-14m-1900e-1SE2SA-20CU-8RB-8TCC-4MC-DCC-PBB-2048K-2PreCull-2PostCull-BC,3dm11_32bit_12x7_dx11_gt3_perf,0.7442,12375730128,6.12%,15.03%,1.73%,0%,0%,0.2%,0%,0%,0%,0%,6.33%,0%,0.05%,0%,0%,28.31%,0%,0%,0%,0%,0%,0%,0%,1.47%,0%,1.51%,16.97%,0%,0%,0%,2.98%,0.02%,0%,0%,5.32%,0%,0%,0.82%,0%,0%,0%,0%,0%,11.05%,0%,0.7%,0%,0%,0%,1.38%,0%,70.16,63.28,78.43,6513.54,0,1900,1900,0,0,0,0,0,0
Navi11-128b-14m-1900e-1SE2SA-20CU-8RB-8TCC-4MC-DCC-PBB-2048K-2PreCull-2PostCull-BC,Grid2_38x21,0.6132,46346168815,0.15%,14.55%,0.57%,0.07%,0%,0.95%,0%,0%,0.01%,0%,12%,1.52%,0.11%,0%,0%,7.19%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0.9%,0.03%,0%,0%,0%,38.91%,1.28%,0%,0%,5.78%,0%,0%,0%,0%,0%,0%,0%,0%,15.76%,0%,0%,0%,0%,0%,0.21%,0%,52.09,36.94,27289.81,24392.72,0,1900,1900,0,0,0,0,0,0
Navi11-128b-14m-1900e-1SE2SA-20CU-8RB-8TCC-4MC-DCC-PBB-2048K-2PreCull-2PostCull-BC,Rome2_19x10_AA_Extreme,0.6675,36197514658,0.56%,11.06%,0.52%,0%,0%,0.56%,0%,0%,0.44%,0%,10.36%,0.01%,0%,0%,0%,32.29%,0%,0%,0%,0%,0%,0%,0%,0%,0%,3.41%,1.54%,0.68%,0%,0%,16.28%,0.32%,0%,0.01%,0%,0%,0%,0%,0%,0%,0%,0%,0%,15.99%,0%,0.35%,0%,4.78%,0%,0.84%,0%,51.84,23.39,2323.79,19051.32,0,1900,1900,0,0,0,0,0,0
Navi11-128b-14m-1900e-1SE2SA-20CU-8RB-8TCC-4MC-DCC-PBB-2048K-2PreCull-2PostCull-BC,Rome2_25x14_AA_Extreme,0.6249,58385585235,0.35%,10.28%,0.36%,0%,0%,0.46%,0%,0%,0.29%,0%,7.87%,0%,0%,0%,0%,37.05%,0%,0%,0%,0%,0%,0%,0%,0%,0%,1.95%,0.72%,0.39%,0%,0%,15.99%,0.16%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,18.26%,0%,0.17%,0%,5.16%,0%,0.53%,0%,32.57,14.84,1849.48,30729.25,0,1900,1900,0,0,0,0,0,0
Navi11-128b-14m-1900e-1SE2SA-20CU-8RB-8TCC-4MC-DCC-PBB-2048K-2PreCull-2PostCull-BC,SleepingDogs_25x16_Extreme,0.7122,15827281209,0.27%,12.49%,0.01%,0%,0%,3.43%,0%,0%,0%,0%,4.19%,0.01%,0%,0%,0%,32.31%,0%,0%,0%,0%,0%,0%,0%,0%,0%,9.63%,3.64%,0.05%,0%,0%,0.06%,1.23%,0%,0%,4.84%,0%,0%,0%,0%,0%,0%,0%,0%,27.83%,0%,0%,0%,0%,0%,0.02%,0%,65.67,45.12,94.75,8330.15,0,1900,1900,0,0,0,0,0,0
Navi11-128b-14m-1900e-1SE2SA-20CU-8RB-8TCC-4MC-DCC-PBB-2048K-2PreCull-2PostCull-BC,SleepingDogs_25x16_FXAA_SSAA_Extreme,0.6074,52199292437,0.08%,12.82%,0%,0%,0%,4.32%,0%,0%,0%,0%,2.44%,0%,0%,0%,0%,38.41%,0%,0%,0%,0%,0%,0%,0%,0%,0%,2.66%,1.06%,0.02%,0%,0%,0.01%,0.34%,0%,0%,5.82%,0%,0%,0%,0%,0%,0%,0%,0%,32.01%,0%,0%,0%,0%,0%,0.02%,0%,28.45,19.34,37.74,27473.31,0,1900,1900,0,0,0,0,0,0
Navi11-128b-14m-1900e-1SE2SA-20CU-8RB-8TCC-4MC-DCC-PBB-2048K-2PreCull-2PostCull-BC,thief_veryhigh_3840x2160x32,0.568,82795645933,0%,19.65%,0.2%,0.01%,0%,2.35%,0%,0%,0%,0%,14.64%,0%,0%,0%,0%,48.77%,0%,0%,0%,0%,0%,0.07%,0%,0.09%,0%,0.24%,0.19%,0%,0%,0%,3.71%,0.98%,0%,0%,0.31%,0%,0.02%,0%,0%,0%,0%,0%,0%,8.37%,0%,0.02%,0%,0%,0%,0.38%,0%,23.08,20.02,33.96,43576.65,0,1900,1900,0,0,0,0,0,0
Navi11-128b-14m-1900e-1SE2SA-20CU-8RB-8TCC-4MC-DCC-PBB-4096K-2PreCull-2PostCull-BC,3dm11_32bit_12x7_dx11_gt3_perf,0.7573,12161917406,6.31%,15.35%,1.88%,0%,0%,0.2%,0%,0%,0%,0%,6.63%,0.01%,0.07%,0%,0%,18.76%,0%,0%,0%,0%,0%,0%,0%,1.53%,0%,1.65%,17.41%,0%,0%,0%,3.07%,0.02%,0%,0%,5.42%,0%,0%,1.28%,0%,0%,0%,0%,0%,18.21%,0%,0.77%,0%,0%,0%,1.42%,0%,71.4,64.31,79.86,6401.01,0,1900,1900,0,0,0,0,0,0
Navi11-128b-14m-1900e-1SE2SA-20CU-8RB-8TCC-4MC-DCC-PBB-4096K-2PreCull-2PostCull-BC,Grid2_38x21,0.6161,46125254849,0.15%,14.88%,0.58%,0.07%,0%,1.01%,0%,0%,0.01%,0%,12.09%,1.53%,0.11%,0%,0%,6.27%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0.93%,0.04%,0%,0%,0%,39.11%,1.34%,0%,0%,5.81%,0%,0%,0%,0%,0%,0%,0%,0%,15.85%,0%,0.01%,0%,0%,0%,0.23%,0%,52.34,37.08,28381.05,24276.45,0,1900,1900,0,0,0,0,0,0
Navi11-128b-14m-1900e-1SE2SA-20CU-8RB-8TCC-4MC-DCC-PBB-4096K-2PreCull-2PostCull-BC,Rome2_19x10_AA_Extreme,0.7386,32713498161,0.72%,16.43%,0.6%,0%,0%,0.74%,0%,0%,0.5%,0%,13.09%,0.02%,0%,0%,0%,12.5%,0%,0%,0%,0%,0%,0%,0%,0%,0%,4.09%,1.95%,0.77%,0%,0%,18.97%,0.43%,0%,0.01%,0%,0%,0%,0%,0%,0%,0%,0%,0%,21%,0%,1.59%,0%,5.52%,0%,1.08%,0%,57.37,23.71,2382.82,17217.63,0,1900,1900,0,0,0,0,0,0
Navi11-128b-14m-1900e-1SE2SA-20CU-8RB-8TCC-4MC-DCC-PBB-4096K-2PreCull-2PostCull-BC,Rome2_25x14_AA_Extreme,0.7171,50879000095,0.47%,17.78%,0.45%,0%,0%,0.69%,0%,0%,0.38%,0%,11.6%,0.02%,0%,0%,0%,6.03%,0%,0%,0%,0%,0%,0%,0%,0%,0%,2.51%,1.61%,0.47%,0%,0%,23.44%,0.25%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,25.49%,0%,1.84%,0%,6.2%,0%,0.76%,0%,37.37,15.1,1881.73,26778.42,0,1900,1900,0,0,0,0,0,0
Navi11-128b-14m-1900e-1SE2SA-20CU-8RB-8TCC-4MC-DCC-PBB-4096K-2PreCull-2PostCull-BC,SleepingDogs_25x16_Extreme,0.7186,15685907042,0.28%,12.71%,0.01%,0%,0%,3.53%,0%,0%,0%,0%,4.23%,0.01%,0%,0%,0%,31.49%,0%,0%,0%,0%,0%,0%,0%,0%,0%,9.74%,3.68%,0.05%,0%,0%,0.06%,1.24%,0%,0%,4.88%,0%,0%,0%,0%,0%,0%,0%,0%,28.08%,0%,0%,0%,0%,0%,0.02%,0%,66.26,45.62,95.04,8255.74,0,1900,1900,0,0,0,0,0,0
Navi11-128b-14m-1900e-1SE2SA-20CU-8RB-8TCC-4MC-DCC-PBB-4096K-2PreCull-2PostCull-BC,SleepingDogs_25x16_FXAA_SSAA_Extreme,0.6202,51121683940,0.08%,13.66%,0%,0%,0%,4.97%,0%,0%,0%,0%,2.49%,0%,0%,0%,0%,35.82%,0%,0%,0%,0%,0%,0%,0%,0%,0%,2.73%,1.08%,0.02%,0%,0%,0.01%,0.35%,0%,0%,5.94%,0%,0%,0%,0%,0%,0%,0%,0%,32.83%,0%,0%,0%,0%,0%,0.02%,0%,29.05,19.83,38.02,26906.15,0,1900,1900,0,0,0,0,0,0
Navi11-128b-14m-1900e-1SE2SA-20CU-8RB-8TCC-4MC-DCC-PBB-4096K-2PreCull-2PostCull-BC,thief_veryhigh_3840x2160x32,0.5745,81856657642,0%,20.34%,0.21%,0.01%,0%,2.42%,0%,0%,0%,0%,14.96%,0%,0%,0%,0%,46.87%,0%,0%,0%,0%,0%,0.07%,0%,0.09%,0%,0.27%,0.2%,0%,0%,0%,3.77%,1.01%,0%,0%,0.32%,0%,0.02%,0%,0%,0%,0%,0%,0%,8.92%,0%,0.02%,0%,0%,0%,0.5%,0%,23.35,20.25,34.26,43082.45,0,1900,1900,0,0,0,0,0,0
Navi11-128b-14m-1900e-1SE2SA-20CU-8RB-8TCC-4MC-DCC-PBB-8192K-2PreCull-2PostCull-BC,3dm11_32bit_12x7_dx11_gt3_perf,0.7676,11998711300,6.48%,15.6%,1.99%,0%,0.13%,0.2%,0%,0%,0%,0%,7.24%,0.03%,0.08%,0%,0%,16.17%,0%,0%,0%,0%,0%,0%,0%,1.6%,0%,1.74%,17.8%,0%,0%,0%,3.15%,0.02%,0%,0%,5.5%,0%,0%,1.49%,0%,0%,0%,0%,0%,18.47%,0%,0.83%,0%,0%,0%,1.45%,0%,72.37,65.08,81.09,6315.11,0,1900,1900,0,0,0,0,0,0
Navi11-128b-14m-1900e-1SE2SA-20CU-8RB-8TCC-4MC-DCC-PBB-8192K-2PreCull-2PostCull-BC,Grid2_38x21,0.6181,45972769950,0.16%,15.09%,0.59%,0.07%,0%,1.02%,0%,0%,0.01%,0%,12.15%,1.54%,0.11%,0%,0%,5.66%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0.95%,0.04%,0%,0%,0%,39.25%,1.38%,0%,0%,5.82%,0%,0%,0%,0%,0%,0%,0%,0%,15.91%,0%,0.01%,0%,0%,0%,0.24%,0%,52.52,37.18,29314.67,24196.19,0,1900,1900,0,0,0,0,0,0
Navi11-128b-14m-1900e-1SE2SA-20CU-8RB-8TCC-4MC-DCC-PBB-8192K-2PreCull-2PostCull-BC,Rome2_19x10_AA_Extreme,0.7575,31896727345,0.76%,17.16%,0.62%,0.01%,0%,0.89%,0%,0%,0.51%,0%,13.71%,0.03%,0.11%,0%,0%,5.95%,0%,0%,0%,0%,0%,0%,0%,0%,0%,4.23%,2.16%,0.79%,0%,0%,20.36%,0.46%,0%,0.01%,0%,0%,0%,0%,0%,0%,0%,0%,0%,23.45%,0%,1.95%,0%,5.68%,0%,1.15%,0%,58.84,23.78,2386.93,16787.75,0,1900,1900,0,0,0,0,0,0
Navi11-128b-14m-1900e-1SE2SA-20CU-8RB-8TCC-4MC-DCC-PBB-8192K-2PreCull-2PostCull-BC,Rome2_25x14_AA_Extreme,0.7149,51037788163,0.47%,17.85%,0.45%,0%,0%,0.71%,0%,0%,0.37%,0%,11.46%,0.02%,0.02%,0%,0%,9.45%,0%,0%,0%,0%,0%,0%,0%,0%,0%,2.5%,1.14%,0.47%,0%,0%,20.94%,0.24%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,25.42%,0%,1.55%,0%,6.18%,0%,0.75%,0%,37.26,15.11,1881.77,26861.99,0,1900,1900,0,0,0,0,0,0
Navi11-128b-14m-1900e-1SE2SA-20CU-8RB-8TCC-4MC-DCC-PBB-8192K-2PreCull-2PostCull-BC,SleepingDogs_25x16_Extreme,0.7247,15553987974,0.28%,13.06%,0.01%,0%,0%,3.62%,0%,0%,0%,0%,4.28%,0.01%,0%,0%,0%,30.52%,0%,0%,0%,0%,0%,0%,0%,0%,0%,9.84%,3.71%,0.05%,0%,0%,0.06%,1.26%,0%,0%,4.92%,0%,0%,0%,0%,0%,0%,0%,0%,28.34%,0%,0%,0%,0%,0%,0.02%,0%,66.82,46.1,95.3,8186.31,0,1900,1900,0,0,0,0,0,0
Navi11-128b-14m-1900e-1SE2SA-20CU-8RB-8TCC-4MC-DCC-PBB-8192K-2PreCull-2PostCull-BC,SleepingDogs_25x16_FXAA_SSAA_Extreme,0.6267,50597193716,0.08%,14.12%,0%,0%,0%,5.48%,0%,0%,0%,0%,2.52%,0%,0%,0%,0%,34.35%,0%,0%,0%,0%,0%,0%,0%,0%,0%,2.76%,1.09%,0.02%,0%,0%,0.01%,0.35%,0%,0%,6.01%,0%,0%,0%,0%,0%,0%,0%,0%,33.19%,0%,0%,0%,0%,0%,0.02%,0%,29.35,20.09,38.17,26630.1,0,1900,1900,0,0,0,0,0,0
Navi11-128b-14m-1900e-1SE2SA-20CU-8RB-8TCC-4MC-DCC-PBB-8192K-2PreCull-2PostCull-BC,thief_veryhigh_3840x2160x32,0.5881,79959112577,0%,21.84%,0.22%,0.01%,0%,2.56%,0%,0%,0%,0%,15.7%,0%,0%,0%,0%,41.66%,0%,0%,0%,0%,0%,0.08%,0%,0.09%,0%,0.32%,0.21%,0%,0%,0%,3.89%,1.08%,0%,0%,0.33%,0%,0.02%,0%,0%,0%,0%,0%,0%,10.43%,0%,0.03%,0%,0%,0%,1.54%,0%,23.9,20.74,34.86,42083.74,0,1900,1900,0,0,0,0,0,0
Navi12-384b-14m-1900e-4SE8SA-80CU-32RB-32TCC-12MC-DCC-PBB-32768K-8PreCull-4PostCull-BC,3dm11_32bit_12x7_dx11_gt3_perf,2.6523,3472641461,3.13%,12.71%,13.68%,0%,0.11%,0.14%,0%,0%,0%,0%,6.73%,0.03%,0.15%,0%,0%,3.85%,0%,0%,0%,0%,0%,0.27%,0%,9.09%,0%,8.45%,9.3%,0%,0%,0%,2.75%,0.13%,0%,0%,4.23%,0%,0%,5.26%,2.17%,0%,0%,0%,0%,15.96%,0%,0.61%,0%,0%,0%,1.21%,0%,250.05,223.7,275.84,1827.71,0,1900,1900,0,0,0,0,0,0
Navi12-384b-14m-1900e-4SE8SA-80CU-32RB-32TCC-12MC-DCC-PBB-32768K-8PreCull-4PostCull-BC,Grid2_38x21,2.3212,12242361613,0.05%,13.91%,1.33%,0.02%,0%,0.89%,0%,0%,0%,0%,11.36%,0.07%,0.1%,0%,0%,4.86%,0%,0%,0%,0%,0%,0%,0%,0%,0%,4.8%,0%,0%,0%,0%,34.48%,5.06%,0%,0%,5.47%,0%,0%,0%,2.72%,0%,0%,0%,0%,14.79%,0%,0%,0%,0%,0%,0.07%,0%,197.22,141.1,52779.42,6443.35,0,1900,1900,0,0,0,0,0,0
Navi12-384b-14m-1900e-4SE8SA-80CU-32RB-32TCC-12MC-DCC-PBB-32768K-8PreCull-4PostCull-BC,Rome2_19x10_AA_Extreme,2.7163,8894841522,0.57%,15.4%,1.83%,0%,0%,0.59%,0%,0%,0.39%,0%,12.24%,0%,0.1%,0%,0%,2.47%,0%,0%,0%,0%,0%,0%,0%,0%,0%,14.3%,0.4%,1.25%,0%,0%,18.38%,1.73%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,22.79%,0%,1.71%,0%,5.08%,0%,0.76%,0%,210.98,94.94,4100.45,4681.5,0,1900,1900,0,0,0,0,0,0
Navi12-384b-14m-1900e-4SE8SA-80CU-32RB-32TCC-12MC-DCC-PBB-32768K-8PreCull-4PostCull-BC,Rome2_25x14_AA_Extreme,2.6787,13621464183,0.33%,16.83%,1.22%,0%,0%,0.51%,0%,0%,0.3%,0%,10.83%,0%,0.09%,0%,0%,5%,0%,0%,0%,0%,0%,0%,0%,0%,0%,9.27%,0.31%,0.76%,0%,0%,20.29%,0.97%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,25.5%,0%,1.48%,0%,5.79%,0%,0.51%,0%,139.59,60.38,2928.87,7169.19,0,1900,1900,0,0,0,0,0,0
Navi12-384b-14m-1900e-4SE8SA-80CU-32RB-32TCC-12MC-DCC-PBB-32768K-8PreCull-4PostCull-BC,SleepingDogs_25x16_Extreme,2.1028,5360360540,0.15%,6.99%,0.08%,0%,0%,1.41%,0%,0%,0%,0%,1.57%,0%,0%,0%,0%,30.6%,0%,0%,0%,0%,0%,0%,0%,0%,0%,33.32%,0%,0%,0%,0%,0.03%,3.23%,0%,0%,3.57%,0%,0%,0%,0%,0%,0%,0%,0%,19.04%,0%,0%,0%,0%,0%,0%,0%,193.9,136.74,347.11,2821.24,0,1900,1900,0,0,0,0,0,0
Navi12-384b-14m-1900e-4SE8SA-80CU-32RB-32TCC-12MC-DCC-PBB-32768K-8PreCull-4PostCull-BC,SleepingDogs_25x16_FXAA_SSAA_Extreme,2.0982,15112098376,0.05%,7.07%,0.03%,0%,0%,2.86%,0%,0%,0%,0%,2.09%,0%,0%,0%,0%,43.66%,0%,0%,0%,0%,0%,0%,0%,0%,0%,11.56%,0%,0%,0%,0%,0%,1.02%,0%,0%,5.03%,0%,0%,0%,0%,0%,0%,0%,0%,26.62%,0%,0%,0%,0%,0%,0.01%,0%,98.28,67.59,145.31,7953.74,0,1900,1900,0,0,0,0,0,0
Navi12-384b-14m-1900e-4SE8SA-80CU-32RB-32TCC-12MC-DCC-PBB-32768K-8PreCull-4PostCull-BC,thief_veryhigh_3840x2160x32,2.2742,20677824372,0%,21.67%,0.85%,0%,0%,2.58%,0%,0%,0%,0%,14.52%,0%,0%,0%,0%,40.23%,0%,0%,0%,0%,0%,0.69%,0%,0.41%,0%,3.05%,0.07%,0%,0%,0%,3.22%,3.46%,0%,0%,0.08%,0%,0%,0%,0%,0%,0%,0%,0%,8.46%,0%,0.02%,0%,0%,0%,0.69%,0%,92.43,79.58,133.38,10883.07,0,1900,1900,0,0,0,0,0,0
