Config, Score for All Resolutions, Min Score, Max Score, Cycles, Mem Efficiency (%), #1 bottleneck, #2 bottleneck, #3 bottleneck, #4 bottleneck, #5 bottleneck,#1 IF Improv % [activity], #2 IF Improv % [activity], #3 IF Improv % [activity], #4 IF Improv % [activity], #5 IF Improv % [activity],Ave FPS, Min FPS, Max FPS, Time (ms), Min App, Max App
Navi10-256b-14m-2000e-2SE4SA-40CU-16RB-16TCC-8MC-DCC-PBB-2048K-4PreCull-4PostCull-BC,1.304,1.165511,1.496483,157572251502.856,57,MCS (32.6%),ALU (17.2%),SPI (12.5%),PS GPR (10.6%),TCP (7.8%),MCS (11.6%) [100.0],ALU (5.3%) [76.7],SPI (4.1%) [60.3],PS GPR (2.2%) [NaN],TCP (0.6%) [65.3],93.73,33.94,48574.73,78786.12,thief_veryhigh_3840x2160x32,3dm11_32bit_12x7_dx11_gt3_perf
Navi10-256b-14m-2000e-2SE4SA-40CU-16RB-16TCC-8MC-DCC-PBB-4096K-4PreCull-4PostCull-BC,1.3663,1.179573,1.52381,150187490310.435,53,MCS (23.2%),ALU (19.8%),SPI (14.9%),PS GPR (12.1%),TCP (8.9%),MCS (7.5%) [100.0],ALU (5.8%) [91.4],SPI (5.1%) [71.8],PS GPR (2.4%) [NaN],TCP (0.6%) [77.7],98.34,34.6,50012.45,75093.74,thief_veryhigh_3840x2160x32,3dm11_32bit_12x7_dx11_gt3_perf
Navi10-256b-14m-2000e-2SE4SA-40CU-16RB-16TCC-8MC-DCC-PBB-8192K-4PreCull-4PostCull-BC,1.3825,1.20953,1.543015,148278062270.121,49,ALU (20.9%),MCS (20.9%),SPI (15.4%),PS GPR (12%),TCP (9.1%),ALU (6.1%) [95.5],MCS (6.4%) [100.0],SPI (5.4%) [75.0],PS GPR (2.4%) [NaN],TCP (0.7%) [81.2],99.61,34.62,51211.4,74139.03,thief_veryhigh_3840x2160x32,3dm11_32bit_12x7_dx11_gt3_perf
Navi10-256b-14m-2000e-2SE4SA-40CU-16RB-16TCC-8MC-DCC-PBB-16384K-4PreCull-4PostCull-BC,1.4045,1.270975,1.574211,145250592343.94,46.8,ALU (22.2%),SPI (16.3%),MCS (15.3%),PS GPR (12.6%),TCP (9.7%),ALU (6.8%) [100.0],SPI (5.9%) [78.5],MCS (4.9%) [93.4],PS GPR (2.5%) [NaN],TCP (0.7%) [85.1],101.69,34.67,53350.4,72625.29,thief_veryhigh_3840x2160x32,3dm11_32bit_12x7_dx11_gt3_perf
Navi10-256b-14m-2000e-2SE4SA-40CU-16RB-16TCC-8MC-DCC-PBB-32768K-4PreCull-4PostCull-BC,1.4238,1.292126,1.606934,143204516454.381,43.6,ALU (22.7%),SPI (17.2%),PS GPR (12.7%),MCS (11.7%),TCP (10.2%),ALU (7.3%) [100.0],SPI (6.5%) [78.5],PS GPR (2.6%) [NaN],MCS (3.6%) [82.3],TCP (0.8%) [85.1],103.14,34.69,57053.58,71602.26,SleepingDogs_25x16_FXAA_SSAA_Extreme,3dm11_32bit_12x7_dx11_gt3_perf
Navi11-128b-14m-2000e-1SE2SA-20CU-8RB-8TCC-4MC-DCC-PBB-1024K-2PreCull-2PostCull-BC,0.6839,0.5831622,0.7698092,302470508847.607,56.3,MCS (31.7%),ALU (18.3%),SPI (13.8%),PS GPR (11.6%),TCP (8.2%),MCS (11%) [100.0],ALU (5.6%) [81.3],SPI (4.4%) [63.9],PS GPR (2.3%) [NaN],TCP (0.6%) [69.2],48.83,17.18,32950.68,151235.25,thief_veryhigh_3840x2160x32,3dm11_32bit_12x7_dx11_gt3_perf
Navi11-128b-14m-2000e-1SE2SA-20CU-8RB-8TCC-4MC-DCC-PBB-2048K-2PreCull-2PostCull-BC,0.6733,0.586464,0.7738206,308474374823.53,57,MCS (34.4%),ALU (17.8%),SPI (12.9%),PS GPR (11%),TCP (8%),MCS (12.4%) [100.0],ALU (5.5%) [76.7],SPI (4.2%) [60.3],PS GPR (2.2%) [NaN],TCP (0.6%) [65.3],47.88,16.97,33193.33,154237.18,thief_veryhigh_3840x2160x32,3dm11_32bit_12x7_dx11_gt3_perf
Navi11-128b-14m-2000e-1SE2SA-20CU-8RB-8TCC-4MC-DCC-PBB-4096K-2PreCull-2PostCull-BC,0.7068,0.5936604,0.7901405,293492545724.234,53.1,MCS (24.7%),ALU (20.6%),SPI (15.4%),PS GPR (12.5%),TCP (9.1%),MCS (8.1%) [100.0],ALU (6.1%) [91.4],SPI (5.2%) [71.8],PS GPR (2.5%) [NaN],TCP (0.6%) [77.7],50.32,17.31,34550.77,146746.27,thief_veryhigh_3840x2160x32,3dm11_32bit_12x7_dx11_gt3_perf
Navi11-128b-14m-2000e-1SE2SA-20CU-8RB-8TCC-4MC-DCC-PBB-8192K-2PreCull-2PostCull-BC,0.7158,0.6089995,0.8020689,289597117111.522,49.1,MCS (22.3%),ALU (21.8%),SPI (15.9%),PS GPR (12.4%),TCP (9.4%),MCS (7%) [100.0],ALU (6.4%) [95.5],SPI (5.6%) [75.0],PS GPR (2.5%) [NaN],TCP (0.7%) [81.2],51,17.32,35705.77,144798.56,thief_veryhigh_3840x2160x32,3dm11_32bit_12x7_dx11_gt3_perf
Navi12-384b-14m-2000e-4SE8SA-80CU-32RB-32TCC-12MC-DCC-PBB-32768K-8PreCull-4PostCull-BC,2.5167,2.173629,2.85662,80048299011.6218,39.2,MCS (20%),ALU (18.7%),SPI (13.1%),VS Wave (12%),PS GPR (11.2%),MCS (6.7%) [100.0],ALU (5.6%) [91.2],SPI (4.6%) [71.6],VS Wave (7.8%) [28.4],PS GPR (2.2%) [NaN],184.51,69.22,65042.19,40024.15,SleepingDogs_25x16_FXAA_SSAA_Extreme,Rome2_19x10_AA_Extreme
Navi10-256b-14m-2100e-2SE4SA-40CU-16RB-16TCC-8MC-DCC-PBB-2048K-4PreCull-4PostCull-BC,1.3514,1.199647,1.553067,159839436045.401,57.2,MCS (35.1%),ALU (16.4%),SPI (11.8%),PS GPR (10.4%),TCP (7.4%),MCS (12.7%) [100.0],ALU (5.1%) [73.6],SPI (3.8%) [57.8],PS GPR (2.1%) [NaN],TCP (0.5%) [62.6],97.03,35.55,50211.19,76114.02,thief_veryhigh_3840x2160x32,3dm11_32bit_12x7_dx11_gt3_perf
