Config, Score for All Resolutions, Min Score, Max Score, Cycles, Mem Efficiency (%), #1 bottleneck, #2 bottleneck, #3 bottleneck, #4 bottleneck, #5 bottleneck,#1 IF Improv % [activity], #2 IF Improv % [activity], #3 IF Improv % [activity], #4 IF Improv % [activity], #5 IF Improv % [activity],Ave FPS, Min FPS, Max FPS, Time (ms), Min App, Max App
Navi11-128b-14m-1900e-1SE2SA-20CU-8RB-8TCC-4MC-DCC-PBB-4096K-2PreCull-2PostCull-BC,0.7573,0.7573091,0.7573091,12161917406.6845,52.7,MCS (18.8%),ALU (18.2%),PosBuf (17.4%),SPI (15.4%),TCP (6.6%),MCS (6.8%) [100.0],ALU (1.9%) [73.1],PosBuf (5.7%) [60.4],SPI (7.2%) [81.9],TCP (1.3%) [54.4],94.99,85.41,106.07,6401.01,3dm11_32bit_12x7_dx11_gt3_perf,3dm11_32bit_12x7_dx11_gt3_perf
Navi11-128b-14m-1900e-1SE2SA-20CU-8RB-8TCC-4MC-DCC-PBB-8192K-2PreCull-2PostCull-BC,0.7676,0.7676101,0.7676101,11998711300.6132,50.1,ALU (18.5%),PosBuf (17.8%),MCS (16.2%),SPI (15.6%),TCP (7.2%),ALU (3%) [78.5],PosBuf (5.9%) [64.9],MCS (5.5%) [100.0],SPI (7.5%) [88.0],TCP (1.4%) [58.5],96.28,86.44,107.7,6315.11,3dm11_32bit_12x7_dx11_gt3_perf,3dm11_32bit_12x7_dx11_gt3_perf
Navi12-384b-14m-1900e-4SE8SA-80CU-32RB-32TCC-12MC-DCC-PBB-32768K-8PreCull-4PostCull-BC,2.6523,2.652255,2.652255,3472641461.23302,41.9,ALU (16%),Primitive (13.7%),SPI (12.7%),PosBuf (9.3%),HS Wave (9.1%),ALU (4.5%) [89.2],Primitive (4.5%) [79.3],SPI (5.3%) [100.0],PosBuf (1.9%) [56.9],HS Wave (3.1%) [41.8],332.66,297.11,366.37,1827.71,3dm11_32bit_12x7_dx11_gt3_perf,3dm11_32bit_12x7_dx11_gt3_perf
Navi10-256b-14m-2000e-2SE4SA-40CU-16RB-16TCC-8MC-DCC-PBB-2048K-4PreCull-4PostCull-BC,1.4965,1.496483,1.496483,6478581386.02739,54.6,MCS (27.9%),SPI (14.2%),PosBuf (13%),ALU (9.2%),TCP (5.8%),MCS (7.8%) [100.0],SPI (6.3%) [73.3],PosBuf (3.7%) [48.8],ALU (0.7%) [65.4],TCP (1.2%) [48.7],187.7,169.37,208.13,3239.29,3dm11_32bit_12x7_dx11_gt3_perf,3dm11_32bit_12x7_dx11_gt3_perf
Navi10-256b-14m-2000e-2SE4SA-40CU-16RB-16TCC-8MC-DCC-PBB-4096K-4PreCull-4PostCull-BC,1.5238,1.52381,1.52381,6362397949.3264,51.9,MCS (19.9%),SPI (14.6%),ALU (14.5%),PosBuf (13.3%),TCP (6.2%),MCS (6.1%) [100.0],SPI (6.6%) [78.7],ALU (1.4%) [70.2],PosBuf (3.8%) [52.4],TCP (1.2%) [52.3],191.12,172.24,211.93,3181.2,3dm11_32bit_12x7_dx11_gt3_perf,3dm11_32bit_12x7_dx11_gt3_perf
Navi10-256b-14m-2000e-2SE4SA-40CU-16RB-16TCC-8MC-DCC-PBB-8192K-4PreCull-4PostCull-BC,1.543,1.543015,1.543015,6283208739.23503,48.9,ALU (17.6%),MCS (15%),SPI (14.8%),PosBuf (13.6%),TCP (6.6%),ALU (2.4%) [75.5],MCS (4.9%) [100.0],SPI (6.9%) [84.6],PosBuf (3.9%) [56.3],TCP (1.3%) [56.2],193.53,174.08,214.82,3141.6,3dm11_32bit_12x7_dx11_gt3_perf,3dm11_32bit_12x7_dx11_gt3_perf
Navi10-256b-14m-2000e-2SE4SA-40CU-16RB-16TCC-8MC-DCC-PBB-16384K-4PreCull-4PostCull-BC,1.5742,1.574211,1.574211,6158695701.38591,43.9,ALU (18%),SPI (15.6%),PosBuf (14%),MCS (10.1%),TCP (7.5%),ALU (4.4%) [88.4],SPI (7.4%) [99.1],PosBuf (4%) [65.9],MCS (3%) [100.0],TCP (1.4%) [65.8],197.44,177.18,219.57,3079.35,3dm11_32bit_12x7_dx11_gt3_perf,3dm11_32bit_12x7_dx11_gt3_perf
Navi10-256b-14m-2000e-2SE4SA-40CU-16RB-16TCC-8MC-DCC-PBB-32768K-4PreCull-4PostCull-BC,1.6069,1.606934,1.606934,6033280643.4041,34.5,ALU (18.4%),SPI (16.7%),PosBuf (14.5%),TCP (8%),Vertex (6.3%),ALU (6.4%) [89.2],SPI (8%) [100.0],PosBuf (4.1%) [66.5],TCP (1.4%) [66.4],Vertex (1.6%) [53.4],201.55,180.68,224.38,3016.64,3dm11_32bit_12x7_dx11_gt3_perf,3dm11_32bit_12x7_dx11_gt3_perf
Navi11-128b-14m-2000e-1SE2SA-20CU-8RB-8TCC-4MC-DCC-PBB-1024K-2PreCull-2PostCull-BC,0.7698,0.7698092,0.7698092,12594140637.8499,55.6,MCS (32.7%),PosBuf (16.5%),SPI (14.7%),ALU (8.7%),Vertex (5.9%),MCS (10%) [100.0],PosBuf (5.4%) [53.2],SPI (6.5%) [72.2],ALU (0.6%) [64.4],Vertex (1.4%) [38.5],96.55,87.09,107.61,6297.07,3dm11_32bit_12x7_dx11_gt3_perf,3dm11_32bit_12x7_dx11_gt3_perf
Navi11-128b-14m-2000e-1SE2SA-20CU-8RB-8TCC-4MC-DCC-PBB-2048K-2PreCull-2PostCull-BC,0.7738,0.7738206,0.7738206,12528855092.0748,55.2,MCS (31.3%),PosBuf (16.7%),SPI (14.8%),ALU (9.5%),TCP (6%),MCS (9.5%) [100.0],PosBuf (5.5%) [54.1],SPI (6.6%) [73.3],ALU (0.8%) [65.4],TCP (1.2%) [48.7],97.06,87.49,108.26,6264.43,3dm11_32bit_12x7_dx11_gt3_perf,3dm11_32bit_12x7_dx11_gt3_perf
Navi11-128b-14m-2000e-1SE2SA-20CU-8RB-8TCC-4MC-DCC-PBB-4096K-2PreCull-2PostCull-BC,0.7901,0.7901405,0.7901405,12270078900.6932,53,MCS (23.2%),PosBuf (17.2%),SPI (15.2%),ALU (15%),TCP (6.5%),MCS (7.6%) [100.0],PosBuf (5.6%) [58.0],SPI (7%) [78.7],ALU (1.5%) [70.2],TCP (1.3%) [52.3],99.1,89.22,110.6,6135.04,3dm11_32bit_12x7_dx11_gt3_perf,3dm11_32bit_12x7_dx11_gt3_perf
Navi11-128b-14m-2000e-1SE2SA-20CU-8RB-8TCC-4MC-DCC-PBB-8192K-2PreCull-2PostCull-BC,0.8021,0.8020689,0.8020689,12087596417.8269,50,ALU (18.3%),MCS (17.7%),PosBuf (17.6%),SPI (15.5%),TCP (6.8%),ALU (2.5%) [75.5],MCS (6.2%) [100.0],PosBuf (5.8%) [62.3],SPI (7.3%) [84.6],TCP (1.3%) [56.2],100.6,90.38,112.43,6043.8,3dm11_32bit_12x7_dx11_gt3_perf,3dm11_32bit_12x7_dx11_gt3_perf
Navi12-384b-14m-2000e-4SE8SA-80CU-32RB-32TCC-12MC-DCC-PBB-32768K-8PreCull-4PostCull-BC,2.7868,2.786801,2.786801,3478929929.82133,42.5,ALU (15.9%),Primitive (13.6%),SPI (12.6%),PosBuf (9.3%),HS Wave (9%),ALU (4.3%) [89.2],Primitive (4.3%) [79.3],SPI (5.3%) [100.0],PosBuf (1.9%) [56.9],HS Wave (3.1%) [41.8],349.53,312.24,384.94,1739.46,3dm11_32bit_12x7_dx11_gt3_perf,3dm11_32bit_12x7_dx11_gt3_perf
Navi10-256b-14m-2100e-2SE4SA-40CU-16RB-16TCC-8MC-DCC-PBB-2048K-4PreCull-4PostCull-BC,1.5531,1.553067,1.553067,6554668552.26901,54.6,MCS (31.8%),SPI (14%),PosBuf (12.8%),ALU (6.7%),TCP (5.6%),MCS (8.9%) [100.0],SPI (6%) [70.5],PosBuf (3.6%) [46.9],ALU (0.5%) [62.9],TCP (1.2%) [46.8],194.79,176.1,215.66,3121.27,3dm11_32bit_12x7_dx11_gt3_perf,3dm11_32bit_12x7_dx11_gt3_perf
Navi10-256b-14m-2100e-2SE4SA-40CU-16RB-16TCC-8MC-DCC-PBB-4096K-4PreCull-4PostCull-BC,1.5858,1.585788,1.585788,6419418914.34744,52.4,MCS (24.5%),SPI (14.4%),PosBuf (13.2%),ALU (11.3%),TCP (6%),MCS (7%) [100.0],SPI (6.4%) [75.7],PosBuf (3.7%) [50.3],ALU (1%) [67.5],TCP (1.2%) [50.3],198.9,179.33,220.53,3056.87,3dm11_32bit_12x7_dx11_gt3_perf,3dm11_32bit_12x7_dx11_gt3_perf
Navi10-256b-14m-2100e-2SE4SA-40CU-16RB-16TCC-8MC-DCC-PBB-8192K-4PreCull-4PostCull-BC,1.6095,1.609465,1.609465,6324981963.70096,49.2,ALU (17.5%),MCS (16.2%),SPI (14.7%),PosBuf (13.4%),TCP (6.3%),ALU (2%) [72.6],MCS (5.6%) [100.0],SPI (6.8%) [81.4],PosBuf (3.8%) [54.1],TCP (1.3%) [54.1],201.87,181.75,223.9,3011.9,3dm11_32bit_12x7_dx11_gt3_perf,3dm11_32bit_12x7_dx11_gt3_perf
Navi10-256b-14m-2100e-2SE4SA-40CU-16RB-16TCC-8MC-DCC-PBB-16384K-4PreCull-4PostCull-BC,1.6454,1.645361,1.645361,6186992788.61453,44.1,ALU (17.9%),SPI (15.5%),PosBuf (13.9%),MCS (11%),TCP (7.4%),ALU (4.1%) [85.1],SPI (7.3%) [95.4],PosBuf (4%) [63.5],MCS (3.5%) [100.0],TCP (1.4%) [63.4],206.37,185.25,229.4,2946.19,3dm11_32bit_12x7_dx11_gt3_perf,3dm11_32bit_12x7_dx11_gt3_perf
Navi10-256b-14m-2100e-2SE4SA-40CU-16RB-16TCC-8MC-DCC-PBB-32768K-4PreCull-4PostCull-BC,1.6849,1.684933,1.684933,6041686752.8226,34.2,ALU (18.4%),SPI (16.7%),PosBuf (14.5%),TCP (8%),Vertex (6.3%),ALU (6.4%) [89.2],SPI (8%) [100.0],PosBuf (4.1%) [66.5],TCP (1.4%) [66.4],Vertex (1.6%) [53.4],211.33,189.42,235.27,2876.99,3dm11_32bit_12x7_dx11_gt3_perf,3dm11_32bit_12x7_dx11_gt3_perf
Navi11-128b-14m-2100e-1SE2SA-20CU-8RB-8TCC-4MC-DCC-PBB-1024K-2PreCull-2PostCull-BC,0.7971,0.7970775,0.7970775,12771454789.1552,55.3,MCS (39.2%),PosBuf (16.2%),SPI (14.4%),Vertex (5.8%),TCP (5.7%),MCS (11.2%) [100.0],PosBuf (5.3%) [51.2],SPI (6.2%) [69.4],Vertex (1.3%) [37.0],TCP (1.2%) [46.1],99.97,90.35,111.29,6081.65,3dm11_32bit_12x7_dx11_gt3_perf,3dm11_32bit_12x7_dx11_gt3_perf
Navi11-128b-14m-2100e-1SE2SA-20CU-8RB-8TCC-4MC-DCC-PBB-2048K-2PreCull-2PostCull-BC,0.8019,0.8018941,0.8018941,12694743665.088,55.1,MCS (35.3%),PosBuf (16.4%),SPI (14.5%),ALU (6.9%),Vertex (5.9%),MCS (10.7%) [100.0],PosBuf (5.4%) [52.0],SPI (6.3%) [70.5],ALU (0.5%) [62.9],Vertex (1.3%) [37.6],100.58,90.82,111.99,6045.12,3dm11_32bit_12x7_dx11_gt3_perf,3dm11_32bit_12x7_dx11_gt3_perf
Navi11-128b-14m-2100e-1SE2SA-20CU-8RB-8TCC-4MC-DCC-PBB-4096K-2PreCull-2PostCull-BC,0.8211,0.8210534,0.8210534,12398511505.5467,53.4,MCS (28%),PosBuf (16.9%),SPI (15%),ALU (11.7%),TCP (6.2%),MCS (8.6%) [100.0],PosBuf (5.6%) [55.8],SPI (6.8%) [75.7],ALU (1.1%) [67.5],TCP (1.3%) [50.3],102.98,92.75,114.89,5904.05,3dm11_32bit_12x7_dx11_gt3_perf,3dm11_32bit_12x7_dx11_gt3_perf
Navi11-128b-14m-2100e-1SE2SA-20CU-8RB-8TCC-4MC-DCC-PBB-8192K-2PreCull-2PostCull-BC,0.8356,0.8356011,0.8356011,12182654620.5792,50.2,MCS (19%),ALU (18.2%),PosBuf (17.3%),SPI (15.3%),TCP (6.6%),MCS (7%) [100.0],ALU (2.1%) [72.6],PosBuf (5.7%) [60.0],SPI (7.1%) [81.4],TCP (1.3%) [54.1],104.8,94.25,117.01,5801.26,3dm11_32bit_12x7_dx11_gt3_perf,3dm11_32bit_12x7_dx11_gt3_perf
Navi12-384b-14m-2100e-4SE8SA-80CU-32RB-32TCC-12MC-DCC-PBB-32768K-8PreCull-4PostCull-BC,2.9202,2.92019,2.92019,3486019931.56781,42.4,ALU (15.9%),Primitive (13.5%),SPI (12.5%),PosBuf (9.3%),HS Wave (9%),ALU (4.1%) [88.8],Primitive (4.2%) [78.9],SPI (5.2%) [99.5],PosBuf (1.9%) [56.6],HS Wave (3%) [41.6],366.26,327.29,403.36,1660.01,3dm11_32bit_12x7_dx11_gt3_perf,3dm11_32bit_12x7_dx11_gt3_perf
Navi10-256b-14m-2200e-2SE4SA-40CU-16RB-16TCC-8MC-DCC-PBB-2048K-4PreCull-4PostCull-BC,1.6057,1.605679,1.605679,6641797247.87985,54.5,MCS (37.8%),SPI (13.8%),PosBuf (12.6%),TCP (5.4%),Vertex (5.3%),MCS (10.1%) [100.0],SPI (5.8%) [67.8],PosBuf (3.6%) [45.1],TCP (1.1%) [45.1],Vertex (1.2%) [36.2],201.39,182.3,222.93,3019,3dm11_32bit_12x7_dx11_gt3_perf,3dm11_32bit_12x7_dx11_gt3_perf
Navi10-256b-14m-2200e-2SE4SA-40CU-16RB-16TCC-8MC-DCC-PBB-4096K-4PreCull-4PostCull-BC,1.6448,1.644824,1.644824,6483729033.0726,53,MCS (27.8%),SPI (14.2%),PosBuf (13%),ALU (9.5%),TCP (5.7%),MCS (7.9%) [100.0],SPI (6.2%) [72.9],PosBuf (3.7%) [48.5],ALU (0.8%) [65.0],TCP (1.2%) [48.4],206.3,186.2,228.7,2947.15,3dm11_32bit_12x7_dx11_gt3_perf,3dm11_32bit_12x7_dx11_gt3_perf
Navi10-256b-14m-2200e-2SE4SA-40CU-16RB-16TCC-8MC-DCC-PBB-8192K-4PreCull-4PostCull-BC,1.6747,1.674679,1.674679,6368141716.26266,49.4,MCS (18%),ALU (16.5%),SPI (14.6%),PosBuf (13.3%),TCP (6.2%),MCS (6.2%) [100.0],ALU (1.6%) [69.9],SPI (6.6%) [78.4],PosBuf (3.8%) [52.2],TCP (1.2%) [52.1],210.05,189.32,232.83,2894.61,3dm11_32bit_12x7_dx11_gt3_perf,3dm11_32bit_12x7_dx11_gt3_perf
Navi10-256b-14m-2200e-2SE4SA-40CU-16RB-16TCC-8MC-DCC-PBB-16384K-4PreCull-4PostCull-BC,1.7155,1.715519,1.715519,6216540650.457,44.2,ALU (17.8%),SPI (15.3%),PosBuf (13.8%),MCS (12%),TCP (7.2%),ALU (3.8%) [82.0],SPI (7.2%) [92.0],PosBuf (3.9%) [61.2],MCS (3.9%) [100.0],TCP (1.3%) [61.1],215.17,193.22,239.1,2825.7,3dm11_32bit_12x7_dx11_gt3_perf,3dm11_32bit_12x7_dx11_gt3_perf
Navi10-256b-14m-2200e-2SE4SA-40CU-16RB-16TCC-8MC-DCC-PBB-32768K-4PreCull-4PostCull-BC,1.7624,1.762431,1.762431,6051071178.65793,34.9,ALU (18.3%),SPI (16.7%),PosBuf (14.4%),TCP (7.9%),Vertex (6.3%),ALU (6.3%) [89.2],SPI (7.9%) [100.0],PosBuf (4.1%) [66.5],TCP (1.4%) [66.4],Vertex (1.6%) [53.4],221.05,198.11,246.08,2750.49,3dm11_32bit_12x7_dx11_gt3_perf,3dm11_32bit_12x7_dx11_gt3_perf
Navi11-128b-14m-2200e-1SE2SA-20CU-8RB-8TCC-4MC-DCC-PBB-1024K-2PreCull-2PostCull-BC,0.8223,0.822271,0.822271,12969681792.0823,55.5,MCS (42.5%),PosBuf (15.9%),SPI (14.2%),Vertex (5.6%),TCP (5.4%),MCS (12.6%) [100.0],PosBuf (5.2%) [49.2],SPI (6%) [66.8],Vertex (1.2%) [35.6],TCP (1.2%) [44.4],103.13,93.25,114.82,5895.31,3dm11_32bit_12x7_dx11_gt3_perf,3dm11_32bit_12x7_dx11_gt3_perf
Navi11-128b-14m-2200e-1SE2SA-20CU-8RB-8TCC-4MC-DCC-PBB-2048K-2PreCull-2PostCull-BC,0.8279,0.8278775,0.8278775,12881850178.0685,55,MCS (41.3%),PosBuf (16%),SPI (14.3%),Vertex (5.7%),TCP (5.5%),MCS (12%) [100.0],PosBuf (5.2%) [50.0],SPI (6.1%) [67.8],Vertex (1.3%) [36.2],TCP (1.2%) [45.1],103.84,93.88,115.59,5855.39,3dm11_32bit_12x7_dx11_gt3_perf,3dm11_32bit_12x7_dx11_gt3_perf
Navi11-128b-14m-2200e-1SE2SA-20CU-8RB-8TCC-4MC-DCC-PBB-4096K-2PreCull-2PostCull-BC,0.8504,0.8504037,0.8504037,12540624733.0761,53.6,MCS (31.3%),PosBuf (16.6%),SPI (14.8%),ALU (9.8%),Vertex (6%),MCS (9.6%) [100.0],PosBuf (5.5%) [53.7],SPI (6.5%) [72.9],ALU (0.8%) [65.0],Vertex (1.4%) [38.9],106.66,96.16,118.95,5700.28,3dm11_32bit_12x7_dx11_gt3_perf,3dm11_32bit_12x7_dx11_gt3_perf
Navi11-128b-14m-2200e-1SE2SA-20CU-8RB-8TCC-4MC-DCC-PBB-8192K-2PreCull-2PostCull-BC,0.8684,0.8683904,0.8683904,12280874292.6096,50.3,MCS (21.1%),ALU (17.1%),PosBuf (17.1%),SPI (15.2%),TCP (6.4%),MCS (7.7%) [100.0],ALU (1.6%) [69.9],PosBuf (5.6%) [57.8],SPI (7%) [78.4],TCP (1.3%) [52.1],108.92,98.06,121.5,5582.22,3dm11_32bit_12x7_dx11_gt3_perf,3dm11_32bit_12x7_dx11_gt3_perf
Navi12-384b-14m-2200e-4SE8SA-80CU-32RB-32TCC-12MC-DCC-PBB-32768K-8PreCull-4PostCull-BC,3.0527,3.05266,3.05266,3493541235.60455,42.2,ALU (15.9%),Primitive (13.5%),SPI (12.4%),PosBuf (9.2%),HS Wave (8.9%),ALU (3.8%) [85.7],Primitive (4.1%) [76.1],SPI (5.2%) [96.0],PosBuf (1.9%) [54.7],HS Wave (3%) [40.2],382.88,342.27,421.6,1587.97,3dm11_32bit_12x7_dx11_gt3_perf,3dm11_32bit_12x7_dx11_gt3_perf
Navi10-256b-14m-2300e-2SE4SA-40CU-16RB-16TCC-8MC-DCC-PBB-2048K-4PreCull-4PostCull-BC,1.6554,1.655403,1.655403,6735124277.27377,54.8,MCS (40.3%),SPI (13.5%),PosBuf (12.4%),TCP (5.1%),Vertex (5.1%),MCS (11.3%) [100.0],SPI (5.6%) [65.4],PosBuf (3.5%) [43.5],TCP (1.1%) [43.5],Vertex (1.1%) [34.9],207.63,188.04,229.91,2928.31,3dm11_32bit_12x7_dx11_gt3_perf,3dm11_32bit_12x7_dx11_gt3_perf
Navi10-256b-14m-2300e-2SE4SA-40CU-16RB-16TCC-8MC-DCC-PBB-4096K-4PreCull-4PostCull-BC,1.7014,1.701412,1.701412,6552998199.49698,53,MCS (31.1%),SPI (14%),PosBuf (12.8%),ALU (7.6%),TCP (5.5%),MCS (8.9%) [100.0],SPI (6%) [70.3],PosBuf (3.6%) [46.8],ALU (0.6%) [62.7],TCP (1.2%) [46.7],213.4,192.91,236.24,2849.13,3dm11_32bit_12x7_dx11_gt3_perf,3dm11_32bit_12x7_dx11_gt3_perf
Navi10-256b-14m-2300e-2SE4SA-40CU-16RB-16TCC-8MC-DCC-PBB-8192K-4PreCull-4PostCull-BC,1.7375,1.737503,1.737503,6416880522.15115,49.7,MCS (22.7%),SPI (14.4%),PosBuf (13.2%),ALU (12.9%),TCP (5.9%),MCS (6.9%) [100.0],SPI (6.4%) [75.6],PosBuf (3.8%) [50.3],ALU (1.2%) [67.5],TCP (1.2%) [50.2],217.93,196.55,241.58,2789.95,3dm11_32bit_12x7_dx11_gt3_perf,3dm11_32bit_12x7_dx11_gt3_perf
Navi10-256b-14m-2300e-2SE4SA-40CU-16RB-16TCC-8MC-DCC-PBB-16384K-4PreCull-4PostCull-BC,1.7846,1.784645,1.784645,6247375700.69614,44.1,ALU (17.7%),SPI (15.2%),PosBuf (13.7%),MCS (13%),TCP (7%),ALU (3.4%) [79.2],SPI (7.1%) [88.8],PosBuf (3.9%) [59.1],MCS (4.4%) [100.0],TCP (1.3%) [59.0],223.84,201.11,248.62,2716.25,3dm11_32bit_12x7_dx11_gt3_perf,3dm11_32bit_12x7_dx11_gt3_perf
Navi10-256b-14m-2300e-2SE4SA-40CU-16RB-16TCC-8MC-DCC-PBB-32768K-4PreCull-4PostCull-BC,1.8391,1.839115,1.839115,6062344190.2395,35.6,ALU (18.3%),SPI (16.6%),PosBuf (14.4%),TCP (7.9%),Vertex (6.3%),ALU (6.2%) [89.2],SPI (7.9%) [100.0],PosBuf (4.1%) [66.5],TCP (1.4%) [66.4],Vertex (1.6%) [53.4],230.67,206.7,256.83,2635.8,3dm11_32bit_12x7_dx11_gt3_perf,3dm11_32bit_12x7_dx11_gt3_perf
Navi11-128b-14m-2300e-1SE2SA-20CU-8RB-8TCC-4MC-DCC-PBB-1024K-2PreCull-2PostCull-BC,0.8462,0.846168,0.846168,13176281167.692,56,MCS (44.8%),PosBuf (15.5%),SPI (13.8%),Vertex (5.4%),TCP (5.2%),MCS (14%) [100.0],PosBuf (5.1%) [47.5],SPI (5.7%) [64.4],Vertex (1.2%) [34.4],TCP (1.1%) [42.8],106.13,96.01,118.21,5728.82,3dm11_32bit_12x7_dx11_gt3_perf,3dm11_32bit_12x7_dx11_gt3_perf
Navi11-128b-14m-2300e-1SE2SA-20CU-8RB-8TCC-4MC-DCC-PBB-2048K-2PreCull-2PostCull-BC,0.8523,0.8523258,0.8523258,13081087772.4238,55.4,MCS (44%),PosBuf (15.7%),SPI (14%),Vertex (5.5%),TCP (5.3%),MCS (13.3%) [100.0],PosBuf (5.1%) [48.2],SPI (5.8%) [65.4],Vertex (1.2%) [34.9],TCP (1.1%) [43.5],106.9,96.69,119.03,5687.43,3dm11_32bit_12x7_dx11_gt3_perf,3dm11_32bit_12x7_dx11_gt3_perf
Navi11-128b-14m-2300e-1SE2SA-20CU-8RB-8TCC-4MC-DCC-PBB-4096K-2PreCull-2PostCull-BC,0.8785,0.8784901,0.8784901,12691489882.7449,53.6,MCS (34.4%),PosBuf (16.3%),SPI (14.5%),ALU (7.9%),Vertex (5.8%),MCS (10.7%) [100.0],PosBuf (5.4%) [51.8],SPI (6.3%) [70.3],ALU (0.6%) [62.7],Vertex (1.3%) [37.5],110.18,99.48,122.68,5518.04,3dm11_32bit_12x7_dx11_gt3_perf,3dm11_32bit_12x7_dx11_gt3_perf
Navi11-128b-14m-2300e-1SE2SA-20CU-8RB-8TCC-4MC-DCC-PBB-8192K-2PreCull-2PostCull-BC,0.8998,0.8997994,0.8997994,12390926723.6486,50.8,MCS (26.2%),PosBuf (16.9%),SPI (15%),ALU (13.4%),TCP (6.1%),MCS (8.5%) [100.0],PosBuf (5.6%) [55.7],SPI (6.8%) [75.6],ALU (1.2%) [67.5],TCP (1.3%) [50.2],112.86,101.67,125.89,5387.36,3dm11_32bit_12x7_dx11_gt3_perf,3dm11_32bit_12x7_dx11_gt3_perf
Navi12-384b-14m-2300e-4SE8SA-80CU-32RB-32TCC-12MC-DCC-PBB-32768K-8PreCull-4PostCull-BC,3.1841,3.184072,3.184072,3501600937.95361,41.9,ALU (15.8%),Primitive (13.3%),SPI (12.3%),PosBuf (9.2%),HS Wave (8.8%),ALU (3.6%) [82.8],Primitive (4%) [73.6],SPI (5.1%) [92.8],PosBuf (1.9%) [52.8],HS Wave (3%) [38.8],399.36,357.14,439.72,1522.44,3dm11_32bit_12x7_dx11_gt3_perf,3dm11_32bit_12x7_dx11_gt3_perf
Navi10-256b-14m-2400e-2SE4SA-40CU-16RB-16TCC-8MC-DCC-PBB-2048K-4PreCull-4PostCull-BC,1.703,1.702995,1.702995,6831553292.56683,55.3,MCS (42.2%),SPI (13.2%),PosBuf (12.2%),TCP (5%),Vertex (4.8%),MCS (12.6%) [100.0],SPI (5.3%) [63.1],PosBuf (3.4%) [42.0],TCP (1.1%) [41.9],Vertex (1.1%) [33.7],213.6,193.57,236.64,2846.48,3dm11_32bit_12x7_dx11_gt3_perf,3dm11_32bit_12x7_dx11_gt3_perf
Navi10-256b-14m-2400e-2SE4SA-40CU-16RB-16TCC-8MC-DCC-PBB-4096K-4PreCull-4PostCull-BC,1.7547,1.754699,1.754699,6630255321.7312,52.9,MCS (37.4%),SPI (13.8%),PosBuf (12.6%),TCP (5.3%),Vertex (5.3%),MCS (9.9%) [100.0],SPI (5.8%) [67.8],PosBuf (3.6%) [45.1],TCP (1.1%) [45.1],Vertex (1.2%) [36.2],220.08,199.32,243.49,2762.61,3dm11_32bit_12x7_dx11_gt3_perf,3dm11_32bit_12x7_dx11_gt3_perf
Navi10-256b-14m-2400e-2SE4SA-40CU-16RB-16TCC-8MC-DCC-PBB-8192K-4PreCull-4PostCull-BC,1.7974,1.797421,1.797421,6472663448.78265,50.3,MCS (26.5%),SPI (14.3%),PosBuf (13%),ALU (10.5%),TCP (5.7%),MCS (7.7%) [100.0],SPI (6.2%) [73.0],PosBuf (3.7%) [48.6],ALU (0.9%) [65.2],TCP (1.2%) [48.5],225.44,203.49,249.84,2696.94,3dm11_32bit_12x7_dx11_gt3_perf,3dm11_32bit_12x7_dx11_gt3_perf
Navi10-256b-14m-2400e-2SE4SA-40CU-16RB-16TCC-8MC-DCC-PBB-16384K-4PreCull-4PostCull-BC,1.8527,1.852744,1.852744,6279389231.36664,44,ALU (17.6%),SPI (15.1%),MCS (14%),PosBuf (13.6%),TCP (6.7%),ALU (3.1%) [76.5],SPI (7%) [85.8],MCS (4.9%) [100.0],PosBuf (3.9%) [57.1],TCP (1.3%) [57.0],232.38,208.91,257.94,2616.41,3dm11_32bit_12x7_dx11_gt3_perf,3dm11_32bit_12x7_dx11_gt3_perf
Navi10-256b-14m-2400e-2SE4SA-40CU-16RB-16TCC-8MC-DCC-PBB-32768K-4PreCull-4PostCull-BC,1.9149,1.914909,1.914909,6075537133.29996,36.5,ALU (18.3%),SPI (16.5%),PosBuf (14.3%),TCP (7.9%),Vertex (6.2%),ALU (6.1%) [89.2],SPI (7.8%) [100.0],PosBuf (4%) [66.5],TCP (1.4%) [66.4],Vertex (1.6%) [53.4],240.18,215.21,267.43,2531.47,3dm11_32bit_12x7_dx11_gt3_perf,3dm11_32bit_12x7_dx11_gt3_perf
Navi11-128b-14m-2400e-1SE2SA-20CU-8RB-8TCC-4MC-DCC-PBB-1024K-2PreCull-2PostCull-BC,0.869,0.8690009,0.8690009,13387906972.3772,56.4,MCS (46.6%),PosBuf (15.2%),SPI (13.3%),TCP (5.1%),Vertex (5.1%),MCS (15.3%) [100.0],PosBuf (5%) [45.8],SPI (5.5%) [62.1],TCP (1.1%) [41.3],Vertex (1.1%) [33.2],108.99,98.65,121.46,5578.29,3dm11_32bit_12x7_dx11_gt3_perf,3dm11_32bit_12x7_dx11_gt3_perf
